,filename,anumber
0,a080325_fig 1 p28.1018_14675736.json,80325
1,a077414_p27.1645_10355535.json,77414
2,a074282_reidy_annual2006_12863956.json,74282
3,a080852_e27_318_2008a_14530025.json,80852
4,a086385_c99_1994_cah_a_2009_11248114.json,86385
5,a104097_annual report_lake_way_e57_849_2014 - surrender report.json,104097
6,a072359_a72359_15741968.json,72359
7,a100487_verification listing e15_1189_15863272.json,100487
8,a091915_m47_385_2011a_11388547.json,91915
9,a077471_e47_1265_2008a_10539959.json,77471
10,a108190_dingo_bore_partial_surrender_heritage_survey_area_map.json,108190
11,a090960_mg_e70_3911_verification report_16919169.json,90960
12,a082459_title page_15641564.json,82459
13,a107988_a107988_v1_report.json,107988
14,a075955_hoppmann  annual report m30_16530369.json,75955
15,a108656_figure 6_rsg geological interpretation.json,108656
16,a096725_dunedin_e70_3839_2012s_12240454.json,96725
17,a087618_rr_e52_1851_2010a_verification report_16960910.json,87618
18,a087338_index map_20k_11734807.json,87338
19,a079454_for e77-1354 annual report 2008_18095481.json,79454
20,a082114_mary river regional geology plan_15711044.json,82114
21,a082597_part a - c123_2002_atlasiron_0809_11507767_12542744.json,82597
22,a076361_p28.1034_10770179.json,76361
23,a099083_beyondie annual report to july 2013_12062963.json,99083
24,a103209_vl3_jigalong_e52-1819_cr847_a_2014_14320958.json,103209
25,a093890_e70_3360 final_12320760.json,93890
26,a104143_dmp min e59-1327 partialsurrenderreport finalcopy 05dec14.json,104143
27,a086282_c170_2007_2009a_14703623.json,86282
28,a105016_znc0066_e08_2046_p2015.json,105016
29,a101437_c126_2011_2013a_15589515.json,101437
30,a078114_lejv_ 2007a_verification_14095219.json,78114
31,a096605_mt ida_e29_777_2012p_14179571.json,96605
32,a107843_attachmentc_e45_4040_regional geology map.json,107843
33,a077347_prospectivity report p26_3204_15780239.json,77347
34,a073867_lnl 001 doir an rep t&c _16188435.json,73867
35,a074079_dawson-hinkler ann rpt to 4 sep 06_14470293.json,74079
36,a095778_e09_1509_fs_2012_16409073.json,95778
37,a100176_e47_2226_2013v_17178972.json,100176
38,a099720_e45_3099fs_2013_18193211.json,99720
39,a081065_extlibrary detailed report_14944401.json,81065
40,a084930_p28_1029_2009a_14762265.json,84930
41,a098684_p21 672-679 final surrender report_14730165.json,98684
42,a085342_m15-1761to1763-m26-317-m26-491_2009combined report_14570293.json,85342
43,a076925_e521929_ 2007 annual report_10426672.json,76925
44,a089536_e77_1158 fsr 2010_11317768.json,89536
45,a075730_e09 781_ 2007 annual report_16120922.json,75730
46,a086851_c171_2009_2010a_14703349.json,86851
47,a078820_escape creek combined annual report to 27th march 2008 updated_15219383.json,78820
48,a087253_yoanmi_18379415.json,87253
49,a084413_e521675_2009p_9227474.json,84413
50,a080850_e27.315 2008 text_15058749.json,80850
51,a088083_m38_818_2010v_14304794.json,88083
52,a084448_final surrender report_c155_11059839.json,84448
53,a078812_2010081211053281_12185147.json,78812
54,a095716_bundaroo_e70_3925_2012s_14289533.json,95716
55,a080417_p27-1612a08_16692765.json,80417
56,a095793_0910_atr_e80_4425_9512502.json,95793
57,a089605_2011.03.17 - mt padbury e52_1651annual report2009-10_14915854.json,89605
58,a087568_r201 2010_final report on el63-960_16569337.json,87568
59,a100812_um_e74_521_2013a_14930300.json,100812
60,a095584_nar 12 p 52.1400  14.09 - 13.09_15822872.json,95584
61,a106696_e80_4403_2015s.json,106696
62,a079884_ww_drill_florasurvey07_14269332.json,79884
63,a087705_e27_329_2010a_15358447.json,87705
64,a088724_p77_3800_2009a_17146658.json,88724
65,a081290_p77_3601_2008ar_15087230.json,81290
66,a072981_adam range annual report 2006 e38-1585_15498234.json,72981
67,a082390_rb_e80-2612_2009a_18265476.json,82390
68,a095569_e27_450_annual report 2012_15151169.json,95569
69,a089717_e703011_s_2011_12555305.json,89717
70,a108321_quartz circle c201_2012 ar 2015.json,108321
71,a084941_p28_1031_2009a_15119260.json,84941
72,a087526_e15_1115 2010a_11725192.json,87526
73,a084485_e52_1772_2009p_11452244.json,84485
74,a097634_p47_1614_annual_report_april2013_11557055.json,97634
75,a088163_yeelirrie_e53_1446_2010a_14982113.json,88163
76,a092053_e38_1985_final_2011_14716718.json,92053
77,a096155_2012.12.21 - e51_1355_2012_ar_18030615.json,96155
78,a074086_munglinup annual report 06_15160591.json,74086
79,a098415_e38_2590_2013a_15727508.json,98415
80,a097512_watershed_c278-2008_cr740_a_2013_17239359.json,97512
81,a084585_e452768__annual report_0809_12030488.json,84585
82,a088169_e77_1449 lake baladgie uranium report complete 2010_14735068.json,88169
83,a079679_mt maguire_e52-1707_cr344_a_2008_12029009.json,79679
84,a092300_p47_1335_2012s_16258604.json,92300
85,a107997_attachmente_c25_2015 surface sampling map.json,107997
86,a102203_gswa_fsr_e08_1846_verification list_2014f_10845493.json,102203
87,a077366_c295_1997_text2007an_verif_9841603.json,77366
88,a080198_mithril_pardoo 2008 annual report_12750651.json,80198
89,a077910_e80_3575 ar_12117409.json,77910
90,a086306_mti_ 2009a_12030249.json,86306
91,a106423_e77_2093 94 and 95 fsr 2015.json,106423
92,a096310_ld_e77-1767-i_2012s_dmpbibliographic_20130116_17834771.json,96310
93,a087324_vr_m37_732_2010_14334350.json,87324
94,a107865_attachmentd_c160_2014 local geology map.json,107865
95,a105671_tan e801679 final report 2015.json,105671
96,a076992_e31_721_2007_a_verification_form_11073694.json,76992
97,a103601_e70_3294_2014p.json,103601
98,a094662_yn_e08_2165_2012a_verification listing_14322642.json,94662
99,a103970_p15_5307_2014s.json,103970
100,a072499_a72499_16694621.json,72499
101,a076957_p25_1705_2007a_14454720.json,76957
102,a073594_carlow castle prase annual report 2006_12209548.json,73594
103,a077348_m53_200_2007a_15893487.json,77348
104,a096677_dmp annual report victory bore e29_804 2012_11501484.json,96677
105,a081104_cgc1482001a2008_18423802.json,81104
106,a090219_e700806_partial_relinq_feb2011_11450169.json,90219
107,a084692_pc_fin_surr_e08_1794_2009_12166312.json,84692
108,a089369_yarlarweelor annual report 2010_16261382.json,89369
109,a105349_litholocal codes.json,105349
110,a094184_e15_1001 mt walters final surrender report_17948607.json,94184
111,a076827_doir e09-1247 mer 19dec07_12594381.json,76827
112,a078899_e27310atr_10484068.json,78899
113,a079712_c306.1997 text 2008_14617422.json,79712
114,a099656_vl3_echo gorge_e47-1241_cr768_a_2013_18133472.json,99656
115,a079785_p31_1760_ar_2008_16178484.json,79785
116,a094856_verification_p77_3706s_11682772.json,94856
117,a081490_nwb040507_thooto well soil_12651524.json,81490
118,a107890_attachmentc_explorationindexmap_c13202011_turner.json,107890
119,a074128_relinquishment_tjukayira_2007_14163985.json,74128
120,a094535_gswa_2011_annual_technical_report_ausr_e30_0421_12179419.json,94535
121,a081713_dool1974_14213976.json,81713
122,a088309_neg_ag_10-1s_15255354.json,88309
123,a080591_navigator geological_legend_13960825.json,80591
124,a095896_stackhole dam annual 2012_15072441.json,95896
125,a081475_e51_1218_2009a.pdf_11892132.json,81475
126,a084898_srre08_1707 parry range dmp annual report 2008-2009_15364298.json,84898
127,a082077_e59_1090_2008a_verificationreport_12775892.json,82077
128,a090409_sml_e53_1494_verif2010an_12276622.json,90409
129,a099523_e09_1778_2013p2_verification_listing_17884410.json,99523
130,a078924_bare hill an report 2008_12712489.json,78924
131,a077783_c_87_1994_2007 verification report _16076175.json,77783
132,a087163_e38-1813 annual report_09-10 (2)_16808518.json,87163
133,a105013_mxr_1503.json,105013
134,a087108_breakaway north west project annual report 2010_12506715.json,87108
135,a093438_e80_3770_2012s_15800565.json,93438
136,a077644_escape creek e 80-3491 partial surrender report_17075327.json,77644
137,a076245_a1lithocodes_11174809.json,76245
138,a096187_p37_7353_ final report_11503422.json,96187
139,a103053_gswa_2014_atr_e52_2696_16017864.json,103053
140,a080918_e9_1443_annual_09_13904956.json,80918
141,a076490_2235_mtminnie_logistics_11299344.json,76490
142,a098632_e704237_fn_2013_reportbody_12529629.json,98632
143,a089311_e38_2252_a_2010_16520806.json,89311
144,a076016_atr.1770_15930939.json,76016
145,a086245_c_hamilton_thesis_12087681.json,86245
146,a087450_m24 400 m24 429 p24 4159-4161  annual report 2010_request for additional information_9943011.json,87450
147,a097400_e63_1314_1325_1343_1426_viking 3 final surrender report_15209256.json,97400
148,a074795_verificationlist_neg_wo_07-2_17106164.json,74795
149,a105804_e45-3332_2015p.json,105804
150,a089279_abd_e53_1134_s_2010_10065382.json,89279
151,a080363_e27-232_a08_12403120.json,80363
152,a082735_p7703571_2009s_12406495.json,82735
153,a103429_e47_1915a.json,103429
154,a082098_ab_c52-2007_2008p_11295582.json,82098
155,a076128_platx mt thirsty_2007report_11484161.json,76128
156,a077949_c117_1997_2008a_appendix09_14145684.json,77949
157,a077875_e9_1155_annual_08_11484276.json,77875
158,a100350_cowanna rocks project annual techincal report e 28 2211 2012 -2013_11972492.json,100350
159,a077032_c170_2005_2008a_15404804.json,77032
160,a108746_a108746_v1_report.json,108746
161,a080952_m51_338-munro bore annual rpt to jan 09_11796346.json,80952
162,a075060_annualreporte452308 200607_17533178.json,75060
163,a104964_verification listing_p774012_4013s.json,104964
164,a098998_combined annual c113_2008 for 2013_12064401.json,98998
165,a078725_abydos_cmbned report_0708_16201230.json,78725
166,a078814_majestic_ann08_16516460.json,78814
167,a080105_e24_131_2008_verrep_15880690.json,80105
168,a085796_wondinong e58-290 2009a verification_12726825.json,85796
169,a088544_annual report c10_2009_2010_12794595.json,88544
170,a104283_20140916 atr e53_1655.json,104283
171,a106614_a106614_v1_report.json,106614
172,a080178_rw_e51_1111_2008s_verification report_12284650.json,80178
173,a097829_p09 464 ar 2013_9965266.json,97829
174,a073375_a73375_16240750.json,73375
