index,event_id,filename,anumber,sentence_count,report_type,sentence_idx,sentence_triggers,event_text,label,lower_idx,upper_idx,DATE,LOCATION,MINERAL,ORE_DEPOSIT,ROCK,STRAT,TIMESCALE,TRIGGER
1387,a108629_a108629_v1_report_77,a108629_a108629_v1_report.json,108629,99,Final Surrender,77,"potential, confirm the presence","The area is of geochemical interest because it is a clear As-MoCd-Bi peak, within a larger elevated zone that is coincident with the mapped outcrop and associated soils. There is broadly elevated Au in the original and infill auger. This area is of interest mainly because of the potential to confirm the presence and fertility of the Hootanui Shear with reconnaissance mapping. Though close to outcrop, the peak pathfinder anomaly is north and west of the prominent breakaway and mapped granite exposure in other words, the anomaly appears to be in sand cover, which makes it potentially more significant. The rock chip sample was taken as a follow up to ground inspections on an anomalous Ni in soil anomaly (auger) from sand dominated terrain.",False,77,78,,,,,"granite, sand, sand",,,"potential, confirm the presence, potentially, significant, anomalous"
29,a076418_sabbathm51-322_annuareport2006_2007_15687559_3,a076418_sabbathm51-322_annuareport2006_2007_15687559.json,76418,57,Annual,3,mineralisation,"Geology: Gold mineralisation is related to the development of shear zones and quartz veins focused along a mafic - felsic contact with historical shafts and workings located over approximately 500 metres of strike. The Sabbath deposit is an Achaean aged gold deposit located approximately 15 kilometres north of Meekatharra in Western Australia. Gold mineralisation is related to the development of shear zones and quartz veins focused along a mafic - felsic contact with historical shafts and workings located over approximately 500 metres of strike. During the last four years Au Mining has spent in excess of $170,000 conducting drilling and prefeasibility activities and in that time has conducted systematic drilling and earthsawing over approximately 400 metres of strike length which has defined a JORC compliant indicted resource of 145,000 t @ 2.52 g/t Au, located within 50 metres of the surface. Some of the more significant intersections returned included 8m @ 15.92 g/t Au and 16m @ 4.28 g/t Au, with a number of intersections requiring follow up drilling with mineralization open at depth.",False,3,3,"Sabbath, the last four years","Meekatharra, Western Australia","Gold, Gold",gold deposit,"quartz veins, quartz veins",,,"mineralisation, mineralisation, significant, mineralization, open at depth"
1384,a108234_wodgina_e45-2404_cr930_s_2015_77,a108234_wodgina_e45-2404_cr930_s_2015.json,108234,103,Final Surrender,77,prospective,"Lithologies are predominantly metamorphosed to amphibolite facies; however there are remnants of unaltered basalts and sediments in the more central portions of the belt. The mafic volcanics are thought to belong to the Warrawoona Group; the clastic sediments are tentatively assigned to the Corboy Formation and the BIFs and cherts to the Cleaverville Formation. The prospective Cleaverville Formation usually occurs near the centre, sitting on older Warrawoona Group volcano-sediments, which occupy the flanks near the granites. Cleaverville Formation sediments occupy a complex central position between the outer amphibolites and the three inner bodies of maficultramafics and sit unconformably on the Warrawoona Group over most of the area, but are interpreted to overlie Corboy Formation sediments in the south. They are dominated by fine-grained sediments, which include siltstones, interbedded siltstones and cherts, BIFs and bedded cherts.",False,77,77,,,,,"amphibolite, basalts, sediments, clastic sediments, BIFs, cherts, sediments, granites, sediments, amphibolites, sediments, sediments, siltstones, siltstones, cherts, BIFs, cherts","Warrawoona Group, Corboy Formation, Cleaverville Formation, Cleaverville Formation, Warrawoona Group, Cleaverville Formation, Warrawoona Group, Corboy Formation",,prospective
1400,a109355_a109355_v1_report_10,a109355_a109355_v1_report.json,109355,69,Final Surrender,10,mineralization,"South of Turee Creek, polymetalic gold platinum mineralisation has been located along the Bresnahan/Wyloo contact. BP Minerals defined gold mineralisation in the Neerambah springs area south of Paraburdoo. Gold mineralization is adjacent to the contact zone between the Pilbara Block and Ashburton Basin hosted by sediments of the Wyloo Group. Secondary uranium mineralisation north of Turee Creek Homestead within the Bresnahan Group was tested by Noranda. As with the BP gold targets this mineralisation is adjacent to the major structural contact between the Pilbara Block and Ashburton Basin.",False,10,12,,"Wyloo, Paraburdoo, Pilbara Block, Ashburton Basin, Homestead, Pilbara Block, Ashburton Basin","gold, platinum, gold, Gold, gold",uranium,sediments,"Wyloo Group, Bresnahan Group",,"mineralisation, mineralisation, mineralization, mineralisation, mineralisation"
1434,a087151_lake_giles_e30_322_annual_report_2010 (replacement)_16599869_37,a087151_lake_giles_e30_322_annual_report_2010 (replacement)_16599869.json,87151,102,Annual,37,possibly,This elongated lense shaped belt is bounded by major north-northwest trending fault/shear zones. The Archaean sequence has been intensely folded. At least five possibly sinistral (anti-clockwise) fault zones of similar but slightly more northwesterly trend are interpreted within the widest part of the belt. These are believed to successively repeat the layered succession. Also two northerly trending sinistral faults obliquely crosscut the belt in this area.,False,37,38,,,,,,,Archaean,possibly
537,a079371_ab_e47-1528-i_2008a_14453449_294,a079371_ab_e47-1528-i_2008a_14453449.json,79371,343,Annual,294,potential,"Representative bulk sampling of the alluvial fan material to validate the conceptual resource and feasibility of mining and upgrading this material. A detailed, low level magnetic and radiometric survey to refine the interpretation of the Ashburton BIFs and possible structures hosting copper-gold mineralisation. Review and further evaluation of the copper gold potential of the project area. The potential for DSO hematite from the associated gossanous material should be evaluated at the same time. Detailed mapping and sampling of BIF layers interpreted at the base of the Ashburton Formation for potential DSO hematite.",False,294,295,,,"copper, gold, copper, gold, hematite, hematite","DSO, DSO","BIFs, BIF",Ashburton Formation,,"possible, mineralisation, potential, potential, potential"
939,a088231_doon doon ar 2010 e80-3745_12057696_59,a088231_doon doon ar 2010 e80-3745_12057696.json,88231,98,Annual,59,potential,"This licence formed part of a much larger group of tenement which was explored from 1976 onwards by the Ashton Exploration JV which led to the discovery of several kimberlite dykes along the western edge of the Halls Creek Mobile Belt including the Argyle Pipe. This work initially comprised a regional drainage sampling followed up later by additional sampling and aeromagnetic surveys. Two magnetic anomalies (DUN07 and DUN08) within E80/2294 were identified as having the potential to be caused by diamondiferous diatremes. Follow-up gravity surveys did not reveal a characteristic low typical of a concealed kimberlite pipe. However, loam samples collected at both anomalies tested positive for kimberlitic indicator minerals and the chemistry of the chromite grains from DUN08 was typical of a kimberlitic/lamproitic source.",False,59,60,1976,"Halls Creek, Argyle",chromite,,"kimberlite, kimberlite",,,potential
580,a080365_e15_755_2008p_18189780_118,a080365_e15_755_2008p_18189780.json,80365,153,Partial Surrender,118,anomalous,"All sampling was conducted by North Eastern Goldfields Exploration Pty Ltd (Andrew Pumphrey), a Kalgoorlie-based geochemical contractor and geologist, who provided a log of the pedogenic carbonate content of each sample and the surface geology/regolith at each sample location. Samples were assayed at Genalysis Laboratories in Perth for gold using aqua regia digest and a low level AAS finish (1ppb Au detection limit, Genalysis code; B/ETA) and for arsenic (10ppm As), copper (1ppm Cu), nickel (1ppm Ni), lead (1ppm Pb) and zinc (1ppm Zn) using aqua regia digest and a standard AAS finish (detection limits in brackets, Genalysis code; B/AAS. Numerous anomalies and anomalous trends were identified by the auger programmes and several direct drill targets were generated in the northern and southern parts of the project area. Figure 3: Map showing auger sampling within surrendered area of E15/755. The conclusion from the data review was that the QVR Project has not been adequately explored for gold.",False,118,118,,"Goldfields, Kalgoorlie, Perth","carbonate, gold, arsenic, copper, nickel, lead, zinc, gold",,regolith,,,anomalous
200,a108408_a108408_v1_report_222,a108408_a108408_v1_report.json,108408,224,Final Surrender,222,mineralisation,"A very low impact (Niton) surface geochemical programme was planned to test this contact from the Emily Ann mine in the North to a location 9km south of the Windy Hill camp. Test work indicated that Niton analysis of the 36 micron fraction of samples would be sufficient to show up and near-surface mineralisation. Test work was conducted over the Maggie Hays mineralisation. Due to falling nickel prices and the Operations being put back into a Care & Maintenance position, this programme was put on hold.",False,222,222,,Maggie Hays,nickel,,,,,"mineralisation, mineralisation"
369,a075365_widge_p154638_07a_16804060_40,a075365_widge_p154638_07a_16804060.json,75365,96,Annual,40,possible,"This programme of work proceeded over a period of some 3.5 years until late 1997 and comprised the drilling of 88 vertical aircore holes for a total of 6731 metres along east to west drill traverse lines spaced at irregular intervals. Towards the end of the programme, 5 inclined RC holes were drilled for a total of 645 metres to test further zones of elevated nickel values obtained from earlier aircore drilling but only one hole reached target because of difficulty in penetrating thick transported overburden. Owing to these drilling difficulties, continuation of this follow-up programme was abandoned and no down hole geophysical surveying was possible. Drill samples were selectively analysed for nickel, chromium, cobalt, zinc and gold at variable drill sample intervals based on geology. However, most mafic and ultramafic sequences were sampled over 2 or 1 metre intervals.",False,40,40,"some 3.5 years, late 1997",,"nickel, nickel, chromium, zinc, gold",,,,,possible
