index,event_id,filename,anumber,sentence_count,report_type,sentence_idx,sentence_triggers,event_text,label,lower_idx,upper_idx,DATE,LOCATION,MINERAL,ORE_DEPOSIT,ROCK,STRAT,TIMESCALE,TRIGGER
114,a086385_mick adam-wadi-scoping study report_11254280_510,a086385_mick adam-wadi-scoping study report_11254280.json,86385,719,Annual,510,could be,"The cyanide will be mixed and dosed directly into the BL and ILS ponds, as required. A cyanide tank exhaust fan will be installed to prevent any build-up of hydrogen cyanide gas in the cyanide mixing area. Alternatively, the cyanide could be supplied as a pre-mixed solution at approximately 30% solution strength. Cement Cement will be transported in a bulk tanker for pneumatic discharge to a vendor-supplied, 60 tonne silo. The cement is discharged via a variable speed rotary valve feeder onto the Scoping Study Report Page 25 agglomeration drum conveyor (CV04) with the ore.",False,510,510,,,,,"mixed, mixed",,,could be
1780,a076932_e80_2389 2007a_14087599_238_old,a076932_e80_2389 2007a_14087599.json,76932,472,Annual,238,possible,"Uranium There is no evidence to suggest that E80/2389 is prospective for uranium 4.8. The Track To The North The track from north of the tenement along the escarpment is in reasonable condition. The continuation of the track to the north of the tenement should be investigated as a possible alternative access to having to drive up and down the escarpment. This track could provide access to the Tony and Sam deposits for large vehicles, eg fuel trucks. There is also a track shown on maps and part of it was seen from the helicopter that runs from Tony and Sam to the Matsu deposit, however it was put in at least 40 years ago and would probably require extensive bulldozing.",False,236,240,at least 40 years ago,,,"Uranium, uranium",,,,"prospective, possible, extensive"
451,a077536_kunann2007_18499634_824,a077536_kunann2007_18499634.json,77536,2302,Annual,824,"mineralisation, potential","The design definition applied to the ore drive fixed cross sectional strings is 3.8m wide by 4.0m high semi-arched profile. All ore drives have been considered as being mined to the North with the hanging wall of the K2 mineralisation located in the bottom left corner of the drive. CONTINUED Page 3 STOPE DESIGN PARAMETERS The stope design has been completed on five metre slices of the K2 mineralisation along the north-south mine axis, within the potential mining reserve area. Each slice of the K2 mineralisation was modified with consideration to minimum mining width. The minimum mining width for Pegasus, as with Rubicon and Hornet, before the application of dilution is 2.5 metres measured in the horizontal.",False,824,825,,Hornet,,,,,,"mineralisation, mineralisation, potential, mineralisation"
925,a087943_kim_cc_10-5a_14795031_889,a087943_kim_cc_10-5a_14795031.json,87943,1056,Annual,889,encourage,"The search was accelerated in the 1970s when the energy crisis of that time caused an increase in demand for thermal coal. The recording of coal occurrences in ditch samples collected when drilling petroleum wells had been noted, which added to the interest in the area. The results did not encourage further work in the areas examined and, with a worldwide downturn in demand for coal in the 1980s, there was a falling away of interest. More recently there has been an upsurge in activity with Rey Resources taking up some 8,000 sq km of tenements, principally following up on the coal discoveries recorded by Premier Mining and Australian Inland Exploration. Reys announcements have generated further interest in the area and other companies (including Cullen) have come in and taken up ground holdings.",False,889,889,"the 1970s, the 1980s",Premier,,,"coal, coal, coal, coal",,,encourage
492,a078381_e29_586_2008a_12183611_242,a078381_e29_586_2008a_12183611.json,78381,381,Annual,242,"further exploration, potential","The boundary between granite and greenstone is weakly anomalous in gold. The best assay results for nickel and associated elements and gold for the 200708 Snake Hill soil program are shown in the table below. Heron Resources Ltd, Snake Hill Project (E29/586) Annual Report 2008 iii Best assay results for 200708 Snake Hill soil sampling program (E29/586) Element Assay results Ni 0.114% Cu 79 ppm Pt 7 ppb Pd 9 ppb Co 64 ppm Cr 2630 ppm Au 0.085 ppm Conclusions: Further exploration will focus on the nickel potential of the project area and will begin with a review of the soil assay results. Reconnaissance RAB drilling may be undertaken. Heron Resources Ltd, Snake Hill Project (E29/586) Annual Report 2008 iv VERIFICATION SHEET Exploration work type File name Format Office studies Literature search Database compilation Computer modelling Reprocessing of data General research Report preparation E29_586_2008A.pdf PDF Other (specify)",False,241,243,"2008, 2008",,"gold, nickel, gold, nickel",,"granite, greenstone",,,"anomalous, Further exploration, potential"
907,a087486_40-100-go-ann-0008_e70_3177_2010_12682266_55,a087486_40-100-go-ann-0008_e70_3177_2010_12682266.json,87486,144,Annual,55,proposed,"The Wagina is up to 250m thick and it consists of fine to medium grained cross bedded clayey sandstone with lesser amounts of conglomerate, siltstone and shale, and sapropelic coal The Archaeological Survey at Irwin River Project for AP Mining Pty Ltd was conducted by Yamatji Communications on the 15th and 16th of April, 2010. Ten (10) Proposed Drill Lines were surveyed for a Site identification and Section 18 Clearance during this time. The surveys undertaken at Irwin River in April 2010 were undertaken to identify if there is any material expression of DIA Site 5463: Narangady 1 and DIA Site 18907: Irwin River, present within their Proposed Drilling Area. The survey was undertaken by Yamatji Communications at the request of AP Mining Pty Ltd and the Department of Indigenous Affairs (DIA) (See Appendix 2).",False,55,55,"the 15th and 16th of April, 2010, April 2010","Irwin, Irwin, Irwin",,,"sandstone, conglomerate, siltstone, shale, sapropelic coal",,,"Proposed, Proposed"
2791,a072921_report rr06-02_annual_el1686_el1687_el2003_14576055_144_old,a072921_report rr06-02_annual_el1686_el1687_el2003_14576055.json,72921,256,Annual,144,possible,"Intermittent uranium exploration has been carried out by Aquitaine, ESSO Minerals and Occidental; however, the tenement monopoly of CRAE-Rio Tinto from 1984-1995 has discouraged many explorers from becoming active in the Rudall area. A program of helicopter-assisted follow up outcrop sampling over anomalous areas defined by previous sampling and multi-spectral data synthesis will be carried out over most of the tenement areas. This program will be combined with a multi-disciplinary program of prospect-scale diamond drilling and possible ground EM and/or gravity geophysical surveys in the Sunday Creek/Desert Edge area. New techniques for processing PIMA spectral data and understanding the significance of trace element and isotopic data will be employed and should expedite the prospectivity analysis for the area. The exploration work is planned for 2006-2007 pending permission from the Martu Traditional Owners following an Aboriginal heritage survey and successful negotiation of an Aboriginal Work Clearance Agreement.",True,142,146,"1984-1995, Sunday, 2006-2007",Rudall,diamond,uranium,,,,"anomalous, prospect, possible, significance, prospectivity"
1143,a096842_c210_2010 combined annual report_12101736_54,a096842_c210_2010 combined annual report_12101736.json,96842,132,Annual,54,"presence of, potentially, mineralisation, mineralisation","These results could reflect one or more of the following: the underlying high magnesium basalt or the presence of concealed ultramafic lithology, or Potentially be due to mineralisation of the lithology, common in the Yilgarn Craton and often associated with gold mineralisation. There is an interesting coincident arsenic (>50ppm As; maximum value of 178ppm As) and gold (>5ppb; maximum 87ppb Au) anomaly in the north of the sampled area, a good target for potential gold mineralisation.",True,54,55,,Yilgarn Craton,"gold, arsenic, gold, gold",,basalt,,,"presence of, Potentially, mineralisation, mineralisation, potential, mineralisation"
1602,a076827_doir e09-1247 mer 19dec07_12594381_16_old,a076827_doir e09-1247 mer 19dec07_12594381.json,76827,64,Annual,16,potential,"All these require mapping and sampling to bring them to a drill-testing stage. DoIR E09-1247 MER 19Dec07.doc 19/12/2007 In addition the weakly magnetic granitoid target in the south east corner of the main tenement block contains a portion of target T24. This is shown to be molybdenummineralised within adjacent E9/1201 and is another area with porphyry potential. However, to commence the programme it is recommended that an Induced Polarisation survey be carried out to cover T19 and T23A. The geophysical company Fugro have been contacted as to information on costs and system availability to test the tenement and indicate that there are some delays as the geophysical crew will not be able to operate until October-November.",True,14,18,October-November,,,,"granitoid, porphyry",,,potential
2211,a080090_e77_1078 as 08 (2)_10803633_63_old,a080090_e77_1078 as 08 (2)_10803633.json,80090,71,Final Surrender,63,possible,The cause of metamorphism has been linked to the intrusive magmatism and is evident from the occurrence of low pressure metamorphic mineral assemblages. The peak metamorphic conditions prevailed during the main D2 compressional event; granites intruded during D2 are deformed by the D3 shear zones. It is possible that the timing of peak metamorphism varied across the region because of differences in emplacement ages of various granitoid bodies. Both gold and iron deposits are considered the potential exploration targets in the area. The timing of gold mineralization remained unresolved.,True,61,65,,,"gold, gold",iron deposits,"granites, granitoid",,,"possible, potential, mineralization"
