,event_id,filename,anumber,sentence_count,report_type,sentence_idx,sentence_triggers,event_text,label,lower_idx,upper_idx,DATE,LOCATION,MINERAL,ORE_DEPOSIT,ROCK,STRAT,TIMESCALE,TRIGGER
0,a071633_27600 morrissey_9355974_51,a071633_27600 morrissey_9355974.json,71633,92,Final Surrender,51,extensive,"The target horizon considered prospective for Broken Hill Style lead-zinc mineralisation was the Lower Proterozoic Morrissey Metamorphics. This unit consists of schist, phyllite, quartzite, micaceous quartzite and thick sequences of quartzo-feldspathic paragneiss. The Morrissey Metamorphics is a metamorphosed sequence of shale, siltstone, sandstone, greywacke, arkose and conglomerate, with extensive migmatite development. Small amphibolite and calc-silicate bodies derived from basalt and carbonate sediments respectively also occur within the sequence. The Morrissey Metamorphics were intruded by early stage gneissic granitoids during or just after peak metamorphism.",False,51,51,,Broken Hill,"lead, zinc, silicate",,"schist, phyllite, quartzite, quartzite, paragneiss, shale, siltstone, sandstone, greywacke, arkose, conglomerate, migmatite, amphibolite, basalt, carbonate sediments, granitoids","Morrissey Metamorphics, Morrissey Metamorphics, Morrissey Metamorphics",Proterozoic,"prospective, mineralisation, extensive"
1,a071816_apollo 2005 annual tech report_11275634_186,a071816_apollo 2005 annual tech report_11275634.json,71816,264,Annual,186,"minor gold, mineralisation","The width of the anomaly is at least 150m and has not been closed off. The anomaly occurs over the felsic-metabasalt contact where it displays a jog. Only minor gold mineralisation was intersected by vertical aircore holes (up to 0.16g/t Au). The anomaly is very similar to the Southern Arsenic anomaly and contains low gold values. At the Camp prospect follow-up bedrock aircore drilling on 80m spaced lines intersected erratically distributed, anomalous gold values in dolerite over a strike length of 1,920m.",False,186,186,,,"gold, Arsenic, gold, gold",,"metabasalt, bedrock, dolerite",,,"mineralisation, prospect, anomalous"
2,a071875_700-100-go-rep-0002_13675165_172,a071875_700-100-go-rep-0002_13675165.json,71875,204,Annual,172,"significance, prospects, follow up work","The Minyari lease areas are known to be covered by deep lateritic and transported gravel and aeolian sand cover, with a varied weathering and erosional profile. Existing regional aeromagnetics, covering the entire Minyari Dome, has highlighted a complexly folded domal structure with existing prospects located within the core region of this dome. The following work program is recommended to test the extent and significance of existing goldcopper prospects shown in Figure 5.1 plus locate new target areas suitable for follow-up work: 1. A limited program of infill RC and diamond drilling is recommended over the Minyari Prospect to test for down dip and down plunge extensions to known mineralisation. Diamond drillholes would need to be strategically located to help define stratigraphy and structure in accordance with the established Newcrest logging and database management systems.",False,172,172,,,"diamond, Diamond",,"gravel, sand",,,"prospects, significance, prospects, mineralisation"
3,a071950_c591_1994_2005a_16001655_730,a071950_c591_1994_2005a_16001655.json,71950,797,Annual,730,high grade,"The deposit was estimated by ResEval using Inverse Distance to Power 2 (ID2) grade interpolation, constrained by resource outlines based on mineralisation envelopes prepared using a nominal 0.5/t cut-off grade and a minimum downhole length of 3m. The block dimensions used in the model were 5m NS x 10m EW x 5m vertical with subcells of 2.5m x 5m x 2.5m. The Mineral Resource is reported using a high grade cut of 20g/t was used for the Horseshoe, Cassidy and Pod zones, whereas a cut of 10g/t was used for the Hangingwall zone. The Mineral Resource was largely classified as Indicated due to the reasonable continuity of the mineralised zones and the adequate drillhole spacing. However, zones defined by wider spaced drilling (>20-30m), poor continuity and therefore lower confidence were classified as Inferred.",False,730,730,,Horseshoe,,,,,,"mineralisation, high grade"
4,a071977_kurnalpi 2005_19331320_138,a071977_kurnalpi 2005_19331320.json,71977,171,Annual,138,mineralization,"The basaltic doleritic units provide an excellent geochemical and rheological host for the gold mineralization. In summary previous exploration on Western Resources Pty Ltds Kurnalpi project has defined numerous zones gold mineralisation associated with quartz veined and altered zones within predominantly weathered mafic volcanics. More recent deeper drilling at one of these prospects areas, the Brilliant Prospect, has returned wide zones of gold mineralisation within strongly quartz veined and intensely altered basaltic to doleritic intrusives.",True,137,139,,Kurnalpi,"gold, gold, quartz, gold, quartz",,"basaltic, basaltic",,,"mineralization, mineralisation, prospects, mineralisation"
5,a072020_goldenvalley_ann_05_11276734_61,a072020_goldenvalley_ann_05_11276734.json,72020,294,Annual,61,prospects,"Face and stockpile sampling was completed by PDAP staff. Drillhole locations are shown in Figure 7. 4.4.1 RB and AC Drilling AC and RB holes were drilled at the Six Mile North, Golden Valley, and Finnimont prospects (Figure 7). Holes were drilled at various azimuths and dips (see Appendix 2 for drill data). Twelve AC holes were drilled at Six Mile North (M27/157).",False,61,61,,,,,,,,prospects
6,a072089_kun_ann_05_17468294_804,a072089_kun_ann_05_17468294.json,72089,944,Annual,804,mineralisation,"The model includes 16 diamond holes drilled between November 2004 and January 2005 that were designed to improve definition of the likely reserve area. The model supersedes the July 2004 (RUG0604) estimate and is intended for feasibility study investigations and for generating publicly released resource/reserve statements. RUG0505 was generated from the same mineralisation wireframes and drill data used to create the April 2005 Rubicon open pit resource model (ROP0405). Model construction is consistent with the May 2004 Hornet underground model (HUG0504), with differences reflecting the specific differences in drill data and mineralisation between the deposits. RUG0505 and HUG0504 have compatible origins and orientations to allow them to be merged into a single model if required.",False,804,804,"November 2004, January 2005, July 2004, April 2005, May 2004",Hornet,diamond,,,,,"mineralisation, mineralisation"
7,a072158_c15_2006_2005a_15133097_63,a072158_c15_2006_2005a_15133097.json,72158,186,Annual,63,mineralisation,"Hard rock production from the Ruby Well Mine is reported total 4,120 ounces of gold from 7,500 tonnes of ore from a series of small shafts and pits set in gold bearing quartz reefs (I5886, A29591).",True,63,63,,,"Ruby, gold, gold, quartz",,,,,
8,a072178_eureka annual report 2005-2006_14675181_50,a072178_eureka annual report 2005-2006_14675181.json,72178,68,Annual,50,"underground resource, underground resource",A common corollary of such enrichment is an area of impoverishment immediately below. Deeper drilling is required to test below the zone of postulated depletion.,True,50,51,,,,,,,,
9,a072262_bhp383165_2006a_14910125_6,a072262_bhp383165_2006a_14910125.json,72262,29,Annual,6,proposed,"Field checking of geochemical sample sites and proposed drill sites was carried out in January 2006 in preparation for drilling however wet weather and heritage concerns lead to the program being postponed. Ground disturbance approval was given by the Department of Industry Resources however the Department of Indigenous Affairs has requested a heritage survey be completed prior to commencement of any ground disturbing activities as there are registered Aboriginal sites in this area. The proposed holes CH7 and CH8 are shown on Figure 3. Prospecting Licence P38/3165 forms part of the Ben Hur project, located 50 kilometres north of Laverton. The licence covers an area of 75.15 hectares extending in a narrow L shaped corridor 3.8 kilometres south to north and 1.7 kilometres east to west infilling gaps remaining between graticular exploration licence applications.",False,6,7,January 2006,Laverton,lead,,,,,"proposed, proposed"
