index,event_id,filename,report_type,sentence_triggers,event_text,tokenised_text,label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,a071816_apollo 2005 annual tech report_11275634_186,a071816_apollo 2005 annual tech report_11275634.json,Annual,"minor gold, mineralisation","The width of the anomaly is at least 150m and has not been closed off. The anomaly occurs over the felsic-metabasalt contact where it displays a jog. Only minor gold mineralisation was intersected by vertical aircore holes (up to 0.16g/t Au). The anomaly is very similar to the Southern Arsenic anomaly and contains low gold values. At the Camp prospect follow-up bedrock aircore drilling on 80m spaced lines intersected erratically distributed, anomalous gold values in dolerite over a strike length of 1,920m.","the width of the anomaly be at least 150 m and have not be close off the anomaly occur over the felsic metabasalt contact where display a jog only minor gold mineralisation be intersect by vertical aircore hole up to 0.16 g t au the anomaly be very similar to the southern arsenic anomaly and contain low gold value at the camp prospect follow up bedrock aircore drill on 80 m space line intersect erratically distribute anomalous gold value in dolerite over a strike length of 1,920 m",False,-0.93443155,0.4724613,-1.1739808,1.8678906,-0.19386593,-0.47476763,0.016641721,-0.46659604,1.5283059,-0.91973275,1.4009572,-0.7043596,1.4061369,0.47367662,-0.337583,0.72943425,0.29074058,-0.54060584,-0.09727928,0.22564553,0.32489526,-2.3336556,-0.24407357,-1.3198246,1.3792304,0.2787158,0.5598335,0.4121089,0.5579639,-0.5818194,-0.8586683,0.17063439,-0.16745792,1.4595302,1.0915391,-0.37849674,-0.844962,-1.08233,1.1085513,-0.48235083,0.57296944,-0.72845256,0.10822941,-1.0375762,-0.54606074,0.26660442,0.5818159,-1.3380975,-0.4932414,-0.5593822
1,a071875_700-100-go-rep-0002_13675165_172,a071875_700-100-go-rep-0002_13675165.json,Annual,"significance, prospects, follow up work","The Minyari lease areas are known to be covered by deep lateritic and transported gravel and aeolian sand cover, with a varied weathering and erosional profile. Existing regional aeromagnetics, covering the entire Minyari Dome, has highlighted a complexly folded domal structure with existing prospects located within the core region of this dome. The following work program is recommended to test the extent and significance of existing goldcopper prospects shown in Figure 5.1 plus locate new target areas suitable for follow-up work: 1. A limited program of infill RC and diamond drilling is recommended over the Minyari Prospect to test for down dip and down plunge extensions to known mineralisation. Diamond drillholes would need to be strategically located to help define stratigraphy and structure in accordance with the established Newcrest logging and database management systems.",the minyari lease area be know to be cover by deep lateritic and transport gravel and aeolian sand cover with a varied weathering and erosional profile exist regional aeromagnetic cover the entire minyari dome have highlight a complexly fold domal structure with exist prospect locate within the core region of this dome the follow work program be recommend to test the extent and significance of exist goldcopper prospect show in figure 5.1 plus locate new target area suitable for follow up work 1 a limited program of infill rc and diamond drilling be recommend over the minyari prospect to test for down dip and down plunge extension to know mineralisation diamond drillhole would need to be strategically locate to help define stratigraphy and structure in accordance with the establish newcrest logging and database management system,False,0.28315574,0.79543877,0.1827027,-0.8064054,1.1987646,-1.3896253,0.31608975,-0.22144046,-0.18636219,-1.1342721,-0.3433554,2.7158775,2.3950007,0.7564403,-1.5552021,0.9786823,0.60031533,0.37889543,-1.1432687,1.5290406,0.45325744,-0.54569405,0.38380218,0.37339216,0.0036172003,0.7897315,0.7925045,0.04278869,-0.5811818,-0.9702116,-1.0431322,0.36208645,0.07054138,-1.3792942,0.41062254,-0.24402575,0.14178157,0.93854463,0.38539597,-0.17185754,-1.5251173,0.88951325,1.2341181,-0.6285664,1.7993734,-0.8242778,0.68661815,1.1403439,0.09483643,-0.4719619
2,a071950_c591_1994_2005a_16001655_730,a071950_c591_1994_2005a_16001655.json,Annual,high grade,"The deposit was estimated by ResEval using Inverse Distance to Power 2 (ID2) grade interpolation, constrained by resource outlines based on mineralisation envelopes prepared using a nominal 0.5/t cut-off grade and a minimum downhole length of 3m. The block dimensions used in the model were 5m NS x 10m EW x 5m vertical with subcells of 2.5m x 5m x 2.5m. The Mineral Resource is reported using a high grade cut of 20g/t was used for the Horseshoe, Cassidy and Pod zones, whereas a cut of 10g/t was used for the Hangingwall zone. The Mineral Resource was largely classified as Indicated due to the reasonable continuity of the mineralised zones and the adequate drillhole spacing. However, zones defined by wider spaced drilling (>20-30m), poor continuity and therefore lower confidence were classified as Inferred.",the deposit be estimate by reseval use inverse distance to power 2 id2 grade interpolation constrain by resource outline base on mineralisation envelope prepare use a nominal 0.5 t cut off grade and a minimum downhole length of 3 m the block dimension use in the model be 5 m ns x 10 m ew x 5 m vertical with subcell of 2.5 m x 5 m x 2.5 m the mineral resource be report use a high grade cut of 20 g t be use for the horseshoe cassidy and pod zone whereas a cut of 10 g t be use for the hangingwall zone the mineral resource be largely classify as indicate due to the reasonable continuity of the mineralised zone and the adequate drillhole space however zone define by wide space drilling > 20 30 m poor continuity and therefore low confidence be classify as infer,False,-2.4401436,-1.6857437,-1.5120538,-1.1510756,0.90952426,-1.2903707,1.5032642,0.62944674,-1.2107426,0.60021377,0.74994737,0.7161519,2.2475946,-0.27869186,-1.3971721,0.33637583,0.20532851,-0.487625,-0.008334058,-1.2495812,1.7513993,-1.5753858,1.1556406,-0.07293582,-0.23316893,-0.44568524,0.7079738,-0.15255912,0.76246655,1.3392922,0.7157626,1.4312302,-2.3838775,-0.64688003,0.4999785,-0.7416713,0.69382817,-1.534541,-0.35525084,0.04949209,0.15471321,1.5941664,0.22279319,1.6153684,0.9686114,-2.3267248,-0.030383423,-1.0362464,-0.15813327,-0.4017065
3,a072089_kun_ann_05_17468294_804,a072089_kun_ann_05_17468294.json,Annual,mineralisation,"The model includes 16 diamond holes drilled between November 2004 and January 2005 that were designed to improve definition of the likely reserve area. The model supersedes the July 2004 (RUG0604) estimate and is intended for feasibility study investigations and for generating publicly released resource/reserve statements. RUG0505 was generated from the same mineralisation wireframes and drill data used to create the April 2005 Rubicon open pit resource model (ROP0405). Model construction is consistent with the May 2004 Hornet underground model (HUG0504), with differences reflecting the specific differences in drill data and mineralisation between the deposits. RUG0505 and HUG0504 have compatible origins and orientations to allow them to be merged into a single model if required.",the model include 16 diamond hole drill between november 2004 and january 2005 that be design to improve definition of the likely reserve area the model supersede the july 2004 rug0604 estimate and be intend for feasibility study investigation and for generate publicly release resource reserve statement rug0505 be generate from the same mineralisation wireframe and drill datum use to create the april 2005 rubicon open pit resource model rop0405 model construction be consistent with the may 2004 hornet underground model hug0504 with difference reflect the specific difference in drill datum and mineralisation between the deposit rug0505 and hug0504 have compatible origin and orientation to allow to be merge into a single model if require,False,-1.3206226,0.6754615,0.40026432,-0.52755284,1.2538313,-1.1539375,0.6155578,1.2940484,-1.9881705,0.37263396,1.2460903,1.1661818,-0.2482973,-0.86974895,0.74202895,0.48973346,1.1335853,2.0729353,0.7088468,0.8853442,0.38122585,-0.6257522,1.0202589,-0.32848382,-0.059089545,-1.3989426,1.9981865,-1.2907319,-1.9519501,-0.5797307,0.5117043,0.56391126,-1.1141722,-0.15567371,0.9100982,-0.5475255,0.6395075,-1.2410214,0.15683897,0.52900726,-0.23924793,0.12805372,0.55662143,2.5127118,-0.11299237,-2.5549016,-0.7745675,-0.10535932,-0.48121142,0.69835067
4,a072285_c67_2003_2006a_12640575_78,a072285_c67_2003_2006a_12640575.json,Annual,potentially,"Emperor and Shogun resource estimates are via a block models (250 m x 250 m x 0.5 m and 100 m x 100 m x 0.5 m respectively) by Robsearch at a 500 ppm U cutoff. The Emperor 1 Resource is that where all blocks had average grade greater than the cut off grade (i.e. The Emperor 2 Resource is that assigned to the full selective mining category; this being where the average grade of a block (which were very large) was under cut off, but a large proportion of the block contained material greater than cut off, which could potentially be recovered by a selective mining process. We include this material in the total resource because of the very high cut off grade of 500 ppm U used by Robsearch for the block model compared to the grade of 200 ppm U that will be used in future studies, and therefore the likelihood that this material will subsequently be classified as part of the resource. A review of the resource estimates was commenced during the year by the Brisbane based consultants Taylor Wall, as part of an authorised due diligence commissioned by Maple Minerals.",emperor and shogun resource estimate be via a block model 250 m x 250 m x 0.5 m and 100 m x 100 m x 0.5 m respectively by robsearch at a 500 ppm u cutoff the emperor 1 resource be that where all block have average grade great than the cut off grade i.e. the emperor 2 resource be that assign to the full selective mining category this be where the average grade of a block which be very large be under cut off but a large proportion of the block contain material great than cut off which could potentially be recover by a selective mining process include this material in the total resource because of the very high cut off grade of 500 ppm u use by robsearch for the block model compare to the grade of 200 ppm u that will be use in future study and therefore the likelihood that this material will subsequently be classify as part of the resource a review of the resource estimate be commence during the year by the brisbane based consultants taylor wall as part of an authorised due diligence commission by maple mineral,False,-1.5325246,-1.4303472,1.7947072,-0.48455706,-0.08629673,-1.6788265,1.9077762,1.383201,-0.34366643,0.29116186,0.8326939,2.020294,-0.9935808,-1.1812122,-0.8741557,1.1830493,0.43129888,0.5135264,-1.1888884,-0.7057416,1.772632,-2.0261505,2.4913952,0.2162022,-0.81643593,-1.6236676,1.448172,-3.6587658,0.022233184,-0.36304322,1.7001237,-0.8164532,-0.7531572,1.1830871,-1.5222998,-1.1579993,1.7681514,-0.649236,-4.0375886,0.670908,0.058049526,-0.5091994,1.7677946,0.27883238,-0.1964161,0.6735945,-0.8981853,-0.05700396,0.4510329,-0.7759845
5,a072386_jc_2005a_16148319_71,a072386_jc_2005a_16148319.json,Annual,mineralisation,"Underground exposure, mapping, sampling and geological understanding is sufficient to classify parts of these zone 250 domains within Lens B Panels 1 and 2 and Lens F Panel 1 north as measured. The ore zone domain boundaries in the Wallaby Underground resource, together with the 3.0g/t cutoff grade, define mineralisation considered to have reasonable prospects for eventual underground economic extraction. The wireframe domain boundaries were created using zones of continuous alteration, structural domain boundaries, structural dip and dip direction symbols, a decoded rock and alteration field and gold mineralisation to a nominal 1g/t cut-off. These parameters have a direct relationship with the visible orezone structures mapped and interpreted in the underground development. Statistical analysis of dry density measurements in fresh rock conglomerate material indicate a dry density value 2.77t/m3.",underground exposure mapping sampling and geological understanding be sufficient to classify part of these zone 250 domain within lens b panel 1 and 2 and lens f panel 1 north as measure the ore zone domain boundary in the wallaby underground resource together with the 3.0 g t cutoff grade define mineralisation consider to have reasonable prospect for eventual underground economic extraction the wireframe domain boundary be create use zone of continuous alteration structural domain boundary structural dip and dip direction symbol a decode rock and alteration field and gold mineralisation to a nominal 1 g t cut off these parameter have a direct relationship with the visible orezone structure map and interpret in the underground development statistical analysis of dry density measurement in fresh rock conglomerate material indicate a dry density value 2.77 t m3,False,-0.9653282,1.9106032,-1.178291,-0.68670106,0.84164107,-1.9141222,2.1038728,-0.15916163,-1.567363,0.5128155,1.6376939,1.332827,-0.23311308,-0.35274464,-1.104635,-0.6496284,1.5624528,-0.21780892,1.2370136,1.2456782,0.79696244,-1.7561227,2.3333316,-0.2483426,-0.5066414,-0.68042797,1.8717304,0.87228686,-0.029568508,0.4348264,0.28791264,1.2852237,-1.2055095,-1.1059985,2.1893923,-0.14976116,1.3544759,-1.2378504,-0.7573177,-0.49125406,-0.48913518,0.17478436,-0.3247344,1.3617074,2.6597826,-0.8309901,1.5654656,1.089211,0.05415767,1.2507105
6,a072391_c125_2004_2006a_12728776_3510,a072391_c125_2004_2006a_12728776.json,Annual,proposed,"FMG proposes to seek environmental approval for the Cloud Break iron ore mine (No Beneficiation) and associated infrastructure with a life of 12 years at a production rate of 10 to 30 million tonnes per annum (Mtpa) that will be exported via the Port Hedland facility. The proposed ore will not be additional to the 45 Mtpa proposed to be mined from FMGs other mines, but rather will be blended with ore produced from these mines, to allow greater flexibility in terms of product grade control and meeting customer requirements. To ensure that the cumulative impacts of the Cloud Break Project, FMGs other projects and other relevant projects in the area are well understood, cumulative impacts will be a key focus of the studies proposed in this Scoping Document. The specialist consultants for groundwater, surface water, flora and vegetation, and fauna will (have) consider(ed) cumulative impacts. The overall ecological and social impact of Cloud Break, and other mining projects in the area, in particular in the Chichester Ranges, will be assessed in the context of the principles of sustainability.",fmg propose to seek environmental approval for the cloud break iron ore mine no beneficiation and associate infrastructure with a life of 12 year at a production rate of 10 to 30 million tonne per annum mtpa that will be export via the port hedland facility the propose ore will not be additional to the 45 mtpa propose to be mine from fmgs other mine but rather will be blend with ore produce from these mine to allow great flexibility in term of product grade control and meet customer requirement to ensure that the cumulative impact of the cloud break project fmgs other project and other relevant project in the area be well understand cumulative impact will be a key focus of the study propose in this scoping document the specialist consultant for groundwater surface water flora and vegetation and fauna will have consider(ed cumulative impact the overall ecological and social impact of cloud break and other mining project in the area in particular in the chichester range will be assess in the context of the principle of sustainability,False,-0.025350055,-1.313825,1.6480914,0.64108914,-0.060142122,-1.3128152,0.6175419,0.16813833,-2.2298996,2.223953,1.7485557,0.4035052,1.38361,1.6487114,1.6655395,0.28884768,2.1542473,0.10691712,-0.5356944,0.59081215,1.613015,0.003805224,0.013851566,-1.132706,0.10564355,0.9843344,-1.0090982,-0.019361079,-2.2764933,-0.3181451,-1.8120943,-0.46402445,-0.5836908,0.87393266,1.0366094,-0.11910954,-0.4719547,0.32161078,-1.137614,1.3625851,-0.88894844,-0.7516213,0.23392671,1.6797048,2.3012176,1.0969349,0.00769681,1.9148163,0.6883423,-0.37994948
7,a072391_c125_2004_2006a_12728776_9651,a072391_c125_2004_2006a_12728776.json,Annual,encourage,"Remove any hydrocarbon contaminated soils for remediation. Contour to restore natural drainage. Rip surface to alleviate compaction and encourage re- growth of native vegetation (refer to Revegetation Plan Section). Train loading yard Leave site in a safe, stable, non-polluting and tidy condition with no remaining plant or infrastructure that is not required for postoperational use. No remaining plant or infrastructure that is not required for postoperational use.",remove any hydrocarbon contaminate soil for remediation contour to restore natural drainage rip surface to alleviate compaction and encourage re- growth of native vegetation refer to revegetation plan section train loading yard leave site in a safe stable non polluting and tidy condition with no remain plant or infrastructure that be not require for postoperational use no remain plant or infrastructure that be not require for postoperational use,False,-3.250092,-0.8794264,1.3532022,0.6041667,-0.7455744,-1.4745786,1.0564036,-1.4563956,0.21620537,0.66314775,0.9722361,0.5655228,1.3683077,1.7818371,-0.95120853,0.9396207,-0.14035082,0.16612767,1.0956358,-1.0865068,0.40699866,-1.2318125,-1.9029802,0.56897163,-1.1647111,-0.4031369,-1.3674139,-0.35511327,-1.31568,-1.9292805,-0.029785026,-0.018146563,-0.9168992,3.4659724,0.20975596,0.39067116,1.6681472,-0.22104284,-1.2244513,0.9863883,-0.13909407,-0.44155446,-0.87464565,0.283925,-0.67022395,-1.1751992,1.0618286,-0.5565936,-0.8992256,0.03442303
8,a072398_c0892002_annual reprt_2005a_14670786_120,a072398_c0892002_annual reprt_2005a_14670786.json,Annual,mineralisation,"The geochemistry of these Tertiary caprock outliers will be significantly different from the surrounding materials. Mobile minerals will be concentrated in the caprock while the surrounding saprolite will be a depletion zone. ORIG DESIGN DATE COMMENTS MGA Coordinates, GDA94 DDDDD D DD D DDD DD D D D D D D D DDD D DD D D DDD D D DD DD D D D D DD DD D D DDDDDDDD D D D D DDD D D DDD DDD D D Check for mineralisation below paleochannel Positive results terminate on edge of paleo land surface. Mineralisation probably extends eastwards into the oxide zone below the surface soils. L L SFC SFC SFC Weak mineralised unit One good result on land surface Low grade anomalism surrounding palaeo surface SFC remnant L Strongly mineralised unit?",the geochemistry of these tertiary caprock outlier will be significantly different from the surround material mobile mineral will be concentrate in the caprock while the surround saprolite will be a depletion zone orig design date comment mga coordinate gda94 ddddd d dd d ddd dd d d d d d d d ddd d dd d d ddd d d dd dd d d d d dd dd d d dddddddd d d d d ddd d d ddd ddd d d check for mineralisation below paleochannel positive result terminate on edge of paleo land surface mineralisation probably extend eastwards into the oxide zone below the surface soil l l sfc sfc sfc weak mineralised unit one good result on land surface low grade anomalism surround palaeo surface sfc remnant l strongly mineralise unit,False,-1.7669113,-0.8275072,0.52180606,-1.8151599,0.42228073,-2.031414,-1.341717,1.5256758,-1.071077,-0.29523507,1.287664,0.6912637,-1.2806481,0.5952826,0.3920518,-0.56968373,-1.3313653,0.64782345,-0.6501011,1.6184328,-2.2299051,-1.9668835,-0.42640477,0.18563737,-0.008071902,-1.0612369,1.010496,0.89347416,-2.0951948,-0.8974211,-0.75406927,1.3091551,-0.94509465,1.2606561,0.39860302,-0.057485063,0.32828188,-0.416466,-1.5333067,0.10810848,-1.2770723,0.8004125,-0.40414637,0.30502838,1.0996525,1.1284003,0.47425336,0.5444199,-1.1679529,0.51215935
9,a072486_c305_1996_2005a_14250496_134,a072486_c305_1996_2005a_14250496.json,Annual,mineralisation,"The footwall domain: To the west of the calc-alkaline units, the footwall domain is characterised by mafic and ultramafic schist, dolerite and banded iron-formation. 6.0 Project Mineralisation Copper and gold at Admiral Hill display a high degree of spatial correlation, although the greater mobility of copper in the supergene zone causes some separation. As presently known, the main contribution to copper-gold mineralisation is in the supergene zone, approximately coincident with, and beneath, the andalusite-bearing schist ridge. Copper and gold occur sporadically throughout the leached, kaolinitic rock. Copper, mainly as malachite and chalcocite, is concentrated near the base of the supergene zone, but gold is more widespread, being retained in relatively refractory quartz veins.",the footwall domain to the west of the calc alkaline unit the footwall domain be characterise by mafic and ultramafic schist dolerite and banded iron formation 6.0 project mineralisation copper and gold at admiral hill display a high degree of spatial correlation although the great mobility of copper in the supergene zone cause some separation as presently know the main contribution to copper gold mineralisation be in the supergene zone approximately coincident with and beneath the andalusite bear schist ridge copper and gold occur sporadically throughout the leach kaolinitic rock copper mainly as malachite and chalcocite be concentrate near the base of the supergene zone but gold be more widespread being retain in relatively refractory quartz vein,False,0.977275,-1.2143483,-0.016287023,-0.22152667,0.56822395,-0.8505869,1.5701234,1.3298496,-0.8712176,-0.19755545,0.9407175,-0.7682475,0.94373703,0.55207497,0.80801123,-0.5142438,0.16814688,0.05810282,-1.7588716,-1.5011882,2.0342927,-1.7794836,1.9846853,1.0074174,1.036824,0.43954688,-0.11067285,0.8173586,-0.78320813,-0.66097325,-0.2287806,-0.6226754,0.4794473,-0.32520536,-0.12062778,-0.0052526887,1.1532011,-0.6459113,0.087886676,-1.3869276,0.36065596,-0.76537573,-0.02450948,-1.1592059,0.6565687,-0.8768664,0.83727384,-0.577726,-0.4378401,-0.9643826
