filename,anumber,report_type,sentence_count,prop,length
a070455_partial surrender report e59-907_9771170.json,70455,Partial Surrender,79,0.16455696202531647,13
a070682_a70682_9855451.json,70682,Partial Surrender,66,0.39393939393939403,26
a071053_e16_263partialsurrender_17405691.json,71053,Partial Surrender,36,0.33333333333333337,12
a071105_a71105_15072417.json,71105,Non-statutory,152,0.39473684210526316,60
a071547_c2231997 partial surrender 2005_10704823.json,71547,Partial Surrender,101,0.26732673267326734,27
a071565_pan_2005a_18059306.json,71565,Annual,49,0.30612244897959184,15
a071575_e51_1077_2005s_15695127.json,71575,Final Surrender,22,0.36363636363636365,8
a071613_phillips river 2005 annual_15558760.json,71613,Annual,169,0.3846153846153845,65
a071633_27600 morrissey v_9355407.json,71633,Final Surrender,13,0.6153846153846154,8
a071633_27600 morrissey_9355974.json,71633,Final Surrender,92,0.4456521739130434,41
a071647_narlarla_ann_tech2005_10581269.json,71647,Annual,253,0.2766798418972331,70
a071681_c3_2003_2005a_15391606.json,71681,Annual,234,0.28205128205128216,66
a071715_bigbell_ann05_10333465.json,71715,Annual,170,0.276470588235294,47
a071723_warda_warra_2005_annual_17079321.json,71723,Annual,124,0.4193548387096773,52
a071725_comannualrepc65-2005_draft2_13774268.json,71725,Annual,263,0.3346007604562736,88
a071739_c326_97_2005a_16684049.json,71739,Annual,204,0.3921568627450981,80
a071740_c325_97_2005a_11242905.json,71740,Annual,116,0.3620689655172413,42
a071740_c325_97_2005a_lowerdolomite_11243198.json,71740,Annual,75,0.7199999999999999,54
a071742_c321_97_2005a_15852590.json,71742,Annual,102,0.5098039215686275,52
a071748_wr_c19_2000_2006a_10785364.json,71748,Annual,284,0.2957746478873237,84
a071757_c204_1998_2006a_12260216.json,71757,Annual,80,0.325,26
a071758_c16_2003vol1_2006a_wildara_9747032.json,71758,Annual,524,0.5171755725190832,271
a071758_c16_2003vol2_2006a_lehmanswell_9782084.json,71758,Annual,77,0.31168831168831174,24
a071758_c16_2003vol3_2006a_spiderwell_9857417.json,71758,Annual,66,0.2575757575757576,17
a071758_c16_2003vol4_2006a_wilsoncreek_9993313.json,71758,Annual,83,0.32530120481927716,27
a071758_c16_2003vol5_2006a_yillaree_10200231.json,71758,Annual,79,0.379746835443038,30
a071765_tuckabianna_ann05_9584421.json,71765,Annual,311,0.4533762057877817,141
a071776_e63_837_2006a_14443237.json,71776,Annual,121,0.5371900826446283,65
a071782_c83_2005_2005a_13888437.json,71782,Annual,272,0.6948529411764702,189
a071791_cudd_ann05_14487344.json,71791,Annual,225,0.5599999999999993,126
a071795_tr1182 _a_2006_18347920.json,71795,Annual,326,0.44478527607361984,145
a071795_tr1182_verification report_18341649.json,71795,Annual,23,0.17391304347826086,4
a071812_c2111995_2005a_12119576.json,71812,Annual,153,0.5490196078431369,84
a071814_k300-4 iron tank well partial surrender nov 2005 _11659259.json,71814,Partial Surrender,58,0.15517241379310345,9
a071816_apollo 2005 annual tech report_11275634.json,71816,Annual,264,0.5568181818181814,147
a071819_bd_c327-1996_2005a_14305639.json,71819,Annual,181,0.5580110497237569,101
a071832_c21_1997_2005a_11882632.json,71832,Annual,70,0.4,28
a071841_c45_2004_a_mtjackson_0603_14814636.json,71841,Annual,301,0.48172757475083083,145
a071841_c45_2004_v_verificationreport_0603_14955699.json,71841,Annual,19,0.2631578947368421,5
a071845_bh_rep_atr_2005_17168767.json,71845,Annual,26,0.23076923076923078,6
a071846_gul_rep_atr_2005__17327138.json,71846,Annual,141,0.44680851063829785,63
a071849_esperance lignite annual report_2005_12488186.json,71849,Annual,163,0.196319018404908,32
a071852_c230-1998_2005a_16132540.json,71852,Annual,263,0.6083650190114059,160
a071860_nanadie_well_annual_06_15838425.json,71860,Annual,118,0.3898305084745762,46
a071861_c135 1998 bcf ar 2005_15959677.json,71861,Annual,54,0.1111111111111111,6
a071862_c166-2001_ashmore_2005a_10507980.json,71862,Annual,50,0.18,9
a071866_ar_ravensthorpe_dec2005_12322571.json,71866,Annual,101,0.5049504950495052,51
a071867_c146-2005 a05_15918282.json,71867,Annual,115,0.4000000000000001,46
a071871_700-100-go-rep-0006_9827190.json,71871,Annual,169,0.4437869822485206,75
a071872_700-100-go-rep-0004_14133621.json,71872,Annual,131,0.6870229007633589,90
