index,event_id,filename,anumber,sentence_count,report_type,idx,event_text,triggers,label,confidence,user,lower_idx,upper_idx
9522,a085972_kunann2009_10445028_457,a085972_kunann2009_10445028.json,85972,548,Annual,457,"Intersections were widely spaced and difficult to correlate with one another. It was noted however, that immediately below the southern end of the 21Mile part of the pit (SE corner) mineralisation in the albite-carbonate altered contact zone between the Powder Gabbro Sill and the volcanogenic sediments of the Black Flag Formation, brittle deformation hosted a small concentration of gold mineralisation which extended to the south. Phase 2 drilling of 21 air core holes tested the extent and continuity of this zone referred to as 22 Mile prospect. Details of the deposit history, geology and the 2007-2008 drill programs are presented in Sanders 2009 1.",potential,True,High,daniel,457,460
12256,a096206_ar_p24_4078_2012_11093641_82,a096206_ar_p24_4078_2012_11093641.json,96206,114,Annual,82,"Review the outcomes of the JV exploration and assess the nickel sulphide potential of the area. Rank the potential alongside other projects held by Minara, either directly or through subsidiary companies. 5.0 CONCLUSIONS Excelsior has reported that exploration over the Scotia tenement block has returned gold intercepts up to 8m @2.05g/t from 82m on potential strike extensions to the structures hosting over one million ounces of resources at Aphrodite (Excelsior, 2012). A PoW to follow up on previously discovered mineralisation and untested prospective targets was approved in late 2012. Geophysical interpretations are underway to enhance the understanding of the Scotia geology and structure.","potential, extensions to the",False,High,daniel,82,82
27937,a087197_wp_1812_ar2010_12795327_88,a087197_wp_1812_ar2010_12795327.json,87197,154,Annual,88,"Four mineralised rock samples were selected from dumps and specimen buckets adjacent to the workings (30401 to 30304). The gneisses at the Whiskey Pool prospect are limited to an area of less than 150m by 100m adjacent to extensive areas of cover but regionally, the gneisses form a northeast trending bar with extensive surface cover east of this bar. A mafic gneiss, rock sample 30305, can be traced the length of the prospect and forms a distinctive marker horizon (Figure 3). West of the bar are the Manyingee and Bennett Well sandstone uranium properties. Footborne traverses indicate basement lithologies of gneiss, pegmatite, basalt and feldspar porphyry.",prospect,False,High,daniel,88,88
28232,a102701_e09_1788_2014p_verification report_11229025_13,a102701_e09_1788_2014p_verification report_11229025.json,102701,22,Partial Surrender,13,"The tenement is located 195 km NE of Carnarvon. Geology: The Project area overlies the contact of the Carnarvon basin and the Pilbara Craton, where early Proterozoic granitoids which have been intruded by Proterozoic dolerite dykes and sills make up the basal unit throughout the Jailor Bore project area. These granites are presumed to be the source of the uranium within the area and some of the gneisses and granites are also reported to be radioactively anomalous. Work Done: re-assessment of all historical open file reports, assessment of geophysical surveys including the historical 2007 EM and 2008 VTEM and historical ground-based 2010 Gravity surveys. Results: After interrogation of the historical geophysical data, 44 blocks were voluntarily surrendered.",anomalous,False,High,daniel,13,13
28457,a108571_mne_e37-1037_final drill report_65,a108571_mne_e37-1037_final drill report.json,108571,91,Co-Funded Drilling,65,"Clasts in finer grained groundmass Hole ID: MCPDH00002 Down Hole Location: 307.00m Description: massive to near massive sulphide in brecciated black shale and greywacke unit. 30-50% pyrrhotite Hole ID: MCPDH00002 Down Hole Location: 309.40m Description: massive to near massive sulphide in brecciated black shale and greywacke unit. 30-50% pyrrhotite and up to 5% sphalerite Hole ID: MCPDH00002 Down Hole Location: 331.50m Description: Volcaniclastic with mixed angular fragments Hole ID: MCPDH00002 Down Hole Location: 345.70m Description: Andesitic volcanic or possible fine grained volcanoclastic, occasionally porphyritic Hole ID: MCPDH00002 Down Hole Location: 361.90m Description: Possible felsic volcanic, glassy, silica rich. Hole ID: MCPDH00002 Down Hole Location: 403.40 Description: Weakly foliated conglomerate/agglomerate, volcaniclastic origin? With felsic to mafic angular clasts.","possible, possible",False,High,daniel,65,65
30227,a078454_c89_2004_mainrpt_2008a_16652760_134,a078454_c89_2004_mainrpt_2008a_16652760.json,78454,350,Annual,134,The difference is greater for high grade underestimation than for low grade overestimation. Consequently sub sets of the total data from the OBMs cannot be used for detailed studies that require valid local predictions of tonnage and grade. The ability of the OBMs to predict grades at high cut offs is inherently limited with results potentially not well representing reality. Visual comparison of the two models with drillhole data supports the conclusion that there is a smearing of grade at a mining scale. At global scale however the interpolated grades follow the pattern of the drillholes fairly well where blocks are well informed.,potentially,False,High,daniel,134,134
31753,a095244_e70_3829_2012s_12836150_16,a095244_e70_3829_2012s_12836150.json,95244,28,Final Surrender,16,"The underlying units are comprised of granites and granitic gneisses, with minor areas of metasediment and greenstone lithologies. The Darling Range laterite has extensive bauxite development and Gibbsite is the dominant bauxite mineral. Economic bauxite mineralisation is confined to the lateritic upland of the Darling Plateau. The distribution, composition, thickness and areal extent of the Darling Range bauxite deposits reflect interacting depositional and erosional controls related to climate, parent rock type, drainage, topography and vegetation. Based on the exploration work conducted there is low potential for the area to contain any significant bauxite deposits.",mineralisation,False,High,daniel,16,16
34561,a080552_gindalbie 2008 annual report_17729535_69,a080552_gindalbie 2008 annual report_17729535.json,80552,175,Annual,69,- 12 - This was considered dangerous to stock. Maintenance was also carried out on the headframe acquired last year. - 1 - ANNUAL REPORT Gindalbie Project M27/158 Period: 4th November 2007 3rd November 2008 Author: M. P. Sullivan Date: December 2008 - 2 - Summary The Gindalbie Project has received sporadic exploration since the mid 1980s for gold mineralisation. This work has largely been directed at discovering a large open pittable resource in an area of historically narrow high-grade mineralisation. The work carried out to date has not been exhaustive but has not successfully located a large low-grade resource.,mineralisation,False,High,daniel,69,69
34739,a085226_glenview_mlem09_report_433_v2_11647812_252,a085226_glenview_mlem09_report_433_v2_11647812.json,85226,268,Annual,252,"Note the deeper red magnetic source could be coincident with the conductive plate. It is recommended to test the up dip portion of the model (blue ellipsoid in Figure 33) prior to drilling the deeper hole to test the EM source. Figure 34 shows a drill hole designed to test the blue ellipsoid magnetic model located up dip from the deeper red magnetic source and possible coincident EM source. This hole is drilled to the south at 60 degrees from 559800mE, 7013050mN to intersect the projection of the EM modelled plate at 180m depth whilst within the magnetic horizon. NEWEXCO SERVICES PTY LTD Ryansville MLEM 2009 S:\Hampton_Hill\GlenView\Reporting\Glenview_MLEM09_Report_433_v2.doc 39 NEWEXCO SERVICES PTY LTD Ryansville MLEM 2009 S:\Hampton_Hill\GlenView\Reporting\Glenview_MLEM09_Report_433_v2.doc 40",possible,False,High,daniel,252,252
36048,a101556_c4_2010_2014s_15019699_32,a101556_c4_2010_2014s_15019699.json,101556,168,Final Surrender,32,"The intersection of 4 m @ 4.21 g/t Au at Bilbo is presumed to be due to supergene enrichment, but the primary source was not identified. The intersection of 4 m @ 1.67 g/t at Frodo is associated with sulphidic quartz veining. No significant (0.5 g/t) intercepts were obtained from the Gollum and Saruman prospects. Australasian Goldmines in JV with Mr Pasco carried out exploration in E63/334 (within current E63/1186) in the period 1992-98. BLEG soil sampling identified a strong +50 ppb Au anomaly 1.2 km in length (peak value 120 ppb) within a lower grade NW trending zone some 3km in length.","significant, prospects",False,High,daniel,32,32
38245,a087444_kanownabelle_ann_10_9686088_834,a087444_kanownabelle_ann_10_9686088.json,87444,5998,Annual,834,"Once Structure 1 was modelled, intercepts were studied along its strike. One of the anomalies in the Fenceline-Woodline area, is the occurrence of mineralisation in RAB holes that appear to have no structural or lithological controls attributed to them historically. When the strike extent of Structure 1 was modelled however, it was evident that this RAB hole mineralisation is situated along its trend (Figure 3). This mineralisation is at 15-20m (the same shallow mineralisation horizon as Supergene area 2 see Figure 3) and is believed to be controlled by Structure 1. With Structure 1 inferred, work then focussed on the potential for another east-west structure to further increase the potential at Fenceline-Woodline.",mineralisation,False,High,daniel,834,834
42288,a076811_e29_600_2007a_15167893_190,a076811_e29_600_2007a_15167893.json,76811,230,Annual,190,"Ravensgate (2007) refer to Afmeco carrying out an airborne radiometric survey of part of the project area, with follow up being limited to seismic surveying and limited deep drilling in the far eastern portion of E029/600. The purpose of this drilling was apparently to elucidate the potential for deep channels that could host rollfront style mineralisation; however no results could be located, and may not have actually been reported. A broad interpretation of the magnetics is shown in figure 5. The purpose of the magnetics interpretation is to ascertain structural controls on the lake system, and also to determine areas where potential deeper Tertiary drainage systems may be located. The rationale behind this is that deeper drainages would likely be controlled by structure, and also growth or normal faults may have controlled grabens that would be ideal locations for drainage systems.",broad,False,High,daniel,190,190
51687,a108855_cio_sd_gpx_memo_dec2011_156,a108855_cio_sd_gpx_memo_dec2011.json,108855,191,Final Surrender,156,"Large, steeply dipping east-northeast and north striking faults that cut across the reverse faults. Second order, also steeply dipping faults having a wider range of strikes, from north-northeast to east southeast, and bounded by the ""thrusts"". Lamprophyre dykes and sills are common throughout the mine sequence Known gold mineralisation at Darlot occurs in two groups - the Darlot lodes and the Centenary orebody. The Darlot lodes occur in two main settings: (i) In and immediately around laminar, sheeted quartz veins in local dilation zones along the Darlot Thrust. For example, the thrust itself in the open pit, and underground lodes such as Pedersen, Filbandint, and the Southern Access Ramp.",mineralisation,False,High,daniel,156,156
66518,a085314_e771483_2009a_12269410_112,a085314_e771483_2009a_12269410.json,85314,119,Annual,112,"Figure Contents 1 Magnetic intensity colour shade image 2 1st vertical derivative greyscale image 3 Hanning residual filter greyscale image 4 Magnetic ridge plot 5 Radiometric ternary image 6 Altimetric digital elevation 7 ASTER 8 ALOS AVNIR2 image, bands 4,3,2 pan sharpened 9 ASTER VNIR image, bands 3,2,1, blended with ALOS AVNIR2 , bands 4,3,2 There is no known previous iron exploration within this area. Minor gold exploration involving geophysical compilation and interpretation by Sons of Gwalia occurred in the mid 1990s (Westaway, 1997). No significant targets were outlined and the tenement surrendered. No field work was completed during the reporting period.",minor gold,False,High,daniel,112,112
67388,a106238_e70_4508_kauring_eis_final_report_2015_175,a106238_e70_4508_kauring_eis_final_report_2015.json,106238,241,Co-Funded Drilling,175,Weathering is more prevalent in the western BIF of unknown thickness or suitability as a DSO target and remains to be drilled to test the DSO capability/depth of weathering. 10 The eastern mapped BIF exhibits as a siliceous vughy BIF at surface which occurs on the western edge of the identified ground magnetic anomaly and not presenting high susceptibility owing to the weathered vughy caprock alteration at surface (Fe% by hand held XRF rock chip samples from 35 to 59% Fe and by XRF/HF digest 49% Fe). SiO2 and Al2O3 were anomalous. on ground magnetic image of Central Target. Interpreted BIF as shown on Figure 6,anomalous,False,High,daniel,175,175
69616,a072541_e47_1413_2006a_16631274_50,a072541_e47_1413_2006a_16631274.json,72541,101,Annual,50,"- 7 - Detrital Iron Deposits develop as the result from the deposition of eroded BID, and form the upper portions of the three Hamersley Surfaces. They may contain a range of clast types, sometimes with later goethitic cementation (canga). Economic deposits DID mineralisation is usually restricted to the upper-most Hamersley Surface. 6.0 Local Geology The area of E47/1413 is dominated by a sequence of volcanic rocks from the upper Fortescue Group, namely the Bunjina and Jeerinah Formations. Quaternary alluvial cover extends along the length of the Hardey River.",mineralisation,False,High,daniel,50,50
72599,a109240_a109240_v1_report_75,a109240_a109240_v1_report.json,109240,114,Final Surrender,75,"This data, along with the GSWA 250k and 100k mapping, was used to determine most favourable positions for structurally-hosted iron deposits. Since 2007, Polaris geologists conducted reconnaissance geological mapping and rock chip sampling. Throughout the reconnaissance the majority of the GSWA mapped Banded Iron Formations were checked for outcropping mineralisation. However only one small reconnaissence mapping program was conducted on E77/1558-1. Annual Report to the Dept.",mineralisation,False,High,daniel,75,75
75026,a080791_ln_e57-619_2008s_11555262_60,a080791_ln_e57-619_2008s_11555262.json,80791,96,Final Surrender,60,"The highest uranium values occur in the southern, narrower part of the drainagechannelwhichliesupstreamofWyleeBore.Thisborereturnedthe mostanomalousregionalwatersample.Thisupperpartofthedrainagealso correspondstoaweakuraniumchannelanomalyinairborneradiometrics. Comparison of uranium and thorium laboratory assays with the field spectrometer readings shows strong similarities in the rangeof values and theaveragevalueforeachelementbutshowsverylowcorrelationinvalues sampleby sample. Foruranium the spectrometer can returnvaluesup to fivetimesthe laboratoryassaybutat levelsof12.5ppmUversus2.5ppmU this is not very significant. Both the laboratory and spectrometer results showthaturaniumandthoriumarenegativelycorrelated. Alldata is containeddigitally inAppendix2alongwitha full reporton the drilling program Lake Noondie Uranium Project, Bill Well Prospect, Technical Report, An Evaluation of the Geochemical Results from the SamplingofAircoreDrillholes.",significant,False,High,daniel,60,60
82548,a075761_spl_2006a_13577063_183,a075761_spl_2006a_13577063.json,75761,535,Annual,183,"( ( ( ( ( ( ( ( ( Ce_pp ( R G B Symbol 65.33 53.39% Location Map KALGOORLIE PERTH Calcrete Sampling E63/853 REE Results over FVD Magnetics 90th Percentile selected to define anomalism Author: TF Report No. : Projection: MGA 94 Revised: Dwg No. ( ( ( ( ( ( ( ( ( Ce_pp ( R G B Symbol 65.33 53.39% Location Map KALGOORLIE PERTH Calcrete Sampling E63/853 U, Th, V Results over Gravity 90th Percentile selected to define anomalism Author: TF Report No. : Projection: MGA 94 Revised: Dwg No. ( ( ( ( ( ( ( ( ( U_ppm ( R G B Symbol 0.9 58.33% Location Map KALGOORLIE PERTH Calcrete Sampling E63/853 U, Th, V Results over Magnetics 90th Percentile selected to define anomalism Author: TF Report No.",anomalism,False,High,daniel,183,183
