group,path,filename,a_number
0,data/wamex_xml/a080325_fig 1 p28.1018_14675736.json,a080325_fig 1 p28.1018_14675736.json,80325
0,data/wamex_xml/a077414_p27.1645_10355535.json,a077414_p27.1645_10355535.json,77414
0,data/wamex_xml/a074282_reidy_annual2006_12863956.json,a074282_reidy_annual2006_12863956.json,74282
0,data/wamex_xml/a080852_e27_318_2008a_14530025.json,a080852_e27_318_2008a_14530025.json,80852
0,data/wamex_xml/a072359_a72359_15741968.json,a072359_a72359_15741968.json,72359
0,data/wamex_xml/a077471_e47_1265_2008a_10539959.json,a077471_e47_1265_2008a_10539959.json,77471
0,data/wamex_xml/a082459_title page_15641564.json,a082459_title page_15641564.json,82459
0,data/wamex_xml/a075955_hoppmann  annual report m30_16530369.json,a075955_hoppmann  annual report m30_16530369.json,75955
0,data/wamex_xml/a079454_for e77-1354 annual report 2008_18095481.json,a079454_for e77-1354 annual report 2008_18095481.json,79454
0,data/wamex_xml/a082114_mary river regional geology plan_15711044.json,a082114_mary river regional geology plan_15711044.json,82114
0,data/wamex_xml/a082597_part a - c123_2002_atlasiron_0809_11507767_12542744.json,a082597_part a - c123_2002_atlasiron_0809_11507767_12542744.json,82597
0,data/wamex_xml/a076361_p28.1034_10770179.json,a076361_p28.1034_10770179.json,76361
0,data/wamex_xml/a078114_lejv_ 2007a_verification_14095219.json,a078114_lejv_ 2007a_verification_14095219.json,78114
0,data/wamex_xml/a077347_prospectivity report p26_3204_15780239.json,a077347_prospectivity report p26_3204_15780239.json,77347
0,data/wamex_xml/a073867_lnl 001 doir an rep t&c _16188435.json,a073867_lnl 001 doir an rep t&c _16188435.json,73867
0,data/wamex_xml/a074079_dawson-hinkler ann rpt to 4 sep 06_14470293.json,a074079_dawson-hinkler ann rpt to 4 sep 06_14470293.json,74079
0,data/wamex_xml/a081065_extlibrary detailed report_14944401.json,a081065_extlibrary detailed report_14944401.json,81065
0,data/wamex_xml/a084930_p28_1029_2009a_14762265.json,a084930_p28_1029_2009a_14762265.json,84930
0,data/wamex_xml/a085342_m15-1761to1763-m26-317-m26-491_2009combined report_14570293.json,a085342_m15-1761to1763-m26-317-m26-491_2009combined report_14570293.json,85342
0,data/wamex_xml/a076925_e521929_ 2007 annual report_10426672.json,a076925_e521929_ 2007 annual report_10426672.json,76925
0,data/wamex_xml/a075730_e09 781_ 2007 annual report_16120922.json,a075730_e09 781_ 2007 annual report_16120922.json,75730
0,data/wamex_xml/a078820_escape creek combined annual report to 27th march 2008 updated_15219383.json,a078820_escape creek combined annual report to 27th march 2008 updated_15219383.json,78820
0,data/wamex_xml/a084413_e521675_2009p_9227474.json,a084413_e521675_2009p_9227474.json,84413
0,data/wamex_xml/a080850_e27.315 2008 text_15058749.json,a080850_e27.315 2008 text_15058749.json,80850
0,data/wamex_xml/a084448_final surrender report_c155_11059839.json,a084448_final surrender report_c155_11059839.json,84448
0,data/wamex_xml/a078812_2010081211053281_12185147.json,a078812_2010081211053281_12185147.json,78812
0,data/wamex_xml/a080417_p27-1612a08_16692765.json,a080417_p27-1612a08_16692765.json,80417
0,data/wamex_xml/a079884_ww_drill_florasurvey07_14269332.json,a079884_ww_drill_florasurvey07_14269332.json,79884
0,data/wamex_xml/a081290_p77_3601_2008ar_15087230.json,a081290_p77_3601_2008ar_15087230.json,81290
0,data/wamex_xml/a072981_adam range annual report 2006 e38-1585_15498234.json,a072981_adam range annual report 2006 e38-1585_15498234.json,72981
