event_id,filename,sentence_idx,sentence_text,n_trigger_words,trigger_words,event_text
a080918_e9_1443_annual_09_13904956_0,a080918_e9_1443_annual_09_13904956.json,0,"Following the completion of the hole and logging of the core, the lack of any evaporitic horizon within the Dirk Hartog Formation zone has downgraded the potential of the tenement to host a potash deposit.",1,['potential'],"following the completion of the hole and logging of the core, the lack of any evaporitic horizon within the dirk hartog formation zone has downgraded the potential of the tenement to host a potash deposit. consequently the tenement has been surrendered."
a080918_e9_1443_annual_09_13904956_15,a080918_e9_1443_annual_09_13904956.json,15,Photos of core C:\yaringa\E9_1443_Annual_09.docx SUMMARY A search for potash mineralisation within evaporite basins in Australia resulted in a detailed geological study of the South Carnarvon Basin being initiated.,1,['mineralisation'],mineral drillholes data 2. lithology summary appendices 1. photos of core c: yaringa e9_1443_annual_09.docx summary a search for potash mineralisation within evaporite basins in australia resulted in a detailed geological study of the south carnarvon basin being initiated. several suitable target areas were identified with the areas applied for as exploration licences.
a080918_e9_1443_annual_09_13904956_18,a080918_e9_1443_annual_09_13904956.json,18,INTRODUCTION The Company has identified the on-shore section of the Gascoyne Platform in the South Carnarvon Basin as the most prospective part of the Carnarvon Basin for potash mineralisation.,1,['mineralisation'],"several suitable target areas were identified with the areas applied for as exploration licences. this report details the work completed on one of these target areas, e9 1443, during its first year. introduction the company has identified the on shore section of the gascoyne platform in the south carnarvon basin as the most prospective part of the carnarvon basin for potash mineralisation. the gascoyne platform is a diamond shaped area that covers about 86,000km 2 and contains up to 5,000m of sediments."
a080918_e9_1443_annual_09_13904956_19,a080918_e9_1443_annual_09_13904956.json,19,"The Gascoyne Platform is a diamond shaped area that covers about 86,000km 2 and contains up to 5,000m of sediments.",1,['contain'],"this report details the work completed on one of these target areas, e9 1443, during its first year. introduction the company has identified the on shore section of the gascoyne platform in the south carnarvon basin as the most prospective part of the carnarvon basin for potash mineralisation. the gascoyne platform is a diamond shaped area that covers about 86,000km 2 and contains up to 5,000m of sediments. it is located approximately 600km to 1200km north of perth."
a080918_e9_1443_annual_09_13904956_21,a080918_e9_1443_annual_09_13904956.json,21,Parts of the adjacent Coolcalalaya Rift are also deemed to be prospective for potash mineralisation and have been included in the Gascoyne Project.,1,['mineralisation'],"the gascoyne platform is a diamond shaped area that covers about 86,000km 2 and contains up to 5,000m of sediments. it is located approximately 600km to 1200km north of perth. parts of the adjacent coolcalalaya rift are also deemed to be prospective for potash mineralisation and have been included in the gascoyne project. the tenement area was chosen on the basis of interpreted seismic data indicating areas that are possible hosts for evaporite deposits."
a080918_e9_1443_annual_09_13904956_22,a080918_e9_1443_annual_09_13904956.json,22,The tenement area was chosen on the basis of interpreted seismic data indicating areas that are possible hosts for evaporite deposits.,1,['possible'],it is located approximately 600km to 1200km north of perth. parts of the adjacent coolcalalaya rift are also deemed to be prospective for potash mineralisation and have been included in the gascoyne project. the tenement area was chosen on the basis of interpreted seismic data indicating areas that are possible hosts for evaporite deposits. tenure (figure 1) e9 1443 was granted on 27 february 2008 in the name of holocene pty ltd.
a080918_e9_1443_annual_09_13904956_27,a080918_e9_1443_annual_09_13904956.json,27,GEOLOGY The Gascoyne project area contains a sequence of Ordovician to Permian sediments that overlie Precambrian basement rocks.,1,['contain'],"location and access the project area is located approximately 100 km east north east of carnarvon in the gascoyne mineral field. access is the main gascoyne junction road commencing from 25km south of carnarvon. geology the gascoyne project area contains a sequence of ordovician to permian sediments that overlie precambrian basement rocks. the main target is the yaringa member of the 750mthick, dirk hartog formation of silurian age."
a080918_e9_1443_annual_09_13904956_34,a080918_e9_1443_annual_09_13904956.json,34,"A recent detailed analysis of drilling, seismic, gravity and other geological data has resulted in the identification of several areas that are prospective for potash mineralisation.",1,['mineralisation'],"bromine levels in the halite are high (up to 330ppm), suggesting precipitation from highly concentrated halite and bittern field brines. traces of sylvite (kcl) were reported in the yaringa no 1 well. a recent detailed analysis of drilling, seismic, gravity and other geological data has resulted in the identification of several areas that are prospective for potash mineralisation. the selection criteria for the targets include local thickening of the target dirk hartog formation (figure 2) at basin edges and locations in the distal parts of the basin where high order evaporite brines were generated and salts precipitated."
a080918_e9_1443_annual_09_13904956_46,a080918_e9_1443_annual_09_13904956.json,46,"EXPLORATION COMPLETED Following examination of the gravity and previous drillhole data, an 1176 metre diamond drill hole was completed.",1,['drill'],"the target is the silurian dirk hartog formation, a sequence of dolomite, shale, sandstone, anhydrite, limestone and evaporite, with the evaporite beds being the primary target. this formation lies immediately over the tumblagooda sandstone (see figure 4). exploration completed following examination of the gravity and previous drillhole data, an 1176 metre diamond drill hole was completed. the target was evaporitic horizons within the silurian dirk hartog formation."
a079788_e15_852_2008a_11529818_1,a079788_e15_852_2008a_11529818.json,1,DHTEM surveys were read in two holes (LLRC0002 and LLDD0001) drilled to test the Nessie conductor.,1,['drill'],"rc diamond drilling collar file rc diamond drilling geology file rc diamond drilling magnetic susceptibility file rc diamond drilling assay file rc diamond drilling survey file cross section independence group nllith codes independence group nllog codes ground geophysics mltem data files mltem in loop squid mltem grided data files mltem in loop squid ch 40 dhtem surveys were read in two holes (llrc0002 and lldd0001) drilled to test the nessie conductor. the lldd0001 survey was read in two parts the original survey was read in the rc pre collar llrc0001, and a subsequent survey was read in the diamond tail."
