event_id,filename,sentence_idx,sentence_text,n_trigger_words_in_sentence,trigger_words_in_sentence,n_trigger_words_in_event,trigger_words_in_event,event_text,STRAT,event_label,ROCK,LOCATION,MINERAL,ORE_DEPOSIT,TIMESCALE,reviewed,Near Miss Event,Key trigger phrase
a080918_e9_1443_annual_09_13904956_0,a080918_e9_1443_annual_09_13904956.json,0,"following the completion of the hole and logging of the core, the lack of any evaporitic horizon within the dirk hartog formation zone has downgraded the potential of the tenement to host a potash deposit.",1,potential,1,potential,"following the completion of the hole and logging of the core, the lack of any evaporitic horizon within the dirk hartog formation zone has downgraded the potential of the tenement to host a potash deposit. consequently the tenement has been surrendered.",dirk hartog formation,0,,,,,,True,False,
a080918_e9_1443_annual_09_13904956_15,a080918_e9_1443_annual_09_13904956.json,15,photos of core c: yaringa e9_1443_annual_09.docx summary a search for potash mineralisation within evaporite basins in australia resulted in a detailed geological study of the south carnarvon basin being initiated.,1,mineralisation,1,mineralisation,mineral drillholes data 2. lithology summary appendices 1. photos of core c: yaringa e9_1443_annual_09.docx summary a search for potash mineralisation within evaporite basins in australia resulted in a detailed geological study of the south carnarvon basin being initiated. several suitable target areas were identified with the areas applied for as exploration licences.,,0,evaporite,"carnarvon basin, australia",,,,True,False,
a080918_e9_1443_annual_09_13904956_18,a080918_e9_1443_annual_09_13904956.json,18,introduction the company has identified the on shore section of the gascoyne platform in the south carnarvon basin as the most prospective part of the carnarvon basin for potash mineralisation.,1,mineralisation,1,mineralisation,"several suitable target areas were identified with the areas applied for as exploration licences. this report details the work completed on one of these target areas, e9 1443, during its first year. introduction the company has identified the on shore section of the gascoyne platform in the south carnarvon basin as the most prospective part of the carnarvon basin for potash mineralisation. the gascoyne platform is a diamond shaped area that covers about 86,000km 2 and contains up to 5,000m of sediments.",,0,sediments,"gascoyne, carnarvon basin",diamond,,,True,False,
a080918_e9_1443_annual_09_13904956_21,a080918_e9_1443_annual_09_13904956.json,21,parts of the adjacent coolcalalaya rift are also deemed to be prospective for potash mineralisation and have been included in the gascoyne project.,1,mineralisation,2,"possible, mineralisation","the gascoyne platform is a diamond shaped area that covers about 86,000km 2 and contains up to 5,000m of sediments. it is located approximately 600km to 1200km north of perth. parts of the adjacent coolcalalaya rift are also deemed to be prospective for potash mineralisation and have been included in the gascoyne project. the tenement area was chosen on the basis of interpreted seismic data indicating areas that are possible hosts for evaporite deposits.",,0,"evaporite, sediments","gascoyne, perth",diamond,,,True,False,
a080918_e9_1443_annual_09_13904956_34,a080918_e9_1443_annual_09_13904956.json,34,"a recent detailed analysis of drilling, seismic, gravity and other geological data has resulted in the identification of several areas that are prospective for potash mineralisation.",1,mineralisation,1,mineralisation,"bromine levels in the halite are high (up to 330ppm), suggesting precipitation from highly concentrated halite and bittern field brines. traces of sylvite (kcl) were reported in the yaringa no 1 well. a recent detailed analysis of drilling, seismic, gravity and other geological data has resulted in the identification of several areas that are prospective for potash mineralisation. the selection criteria for the targets include local thickening of the target dirk hartog formation (figure 2) at basin edges and locations in the distal parts of the basin where high order evaporite brines were generated and salts precipitated.",dirk hartog formation,0,evaporite,,"salts, sylvite, halite",,,True,True,precipitated
a079788_e15_852_2008a_11529818_4,a079788_e15_852_2008a_11529818.json,4,"consequently, it is not possible to merge the datasets into a single set of channel profiles.",1,possible,1,possible,"the lldd0001 survey was read in two parts the original survey was read in the rc pre collar llrc0001, and a subsequent survey was read in the diamond tail. unfortunately, the two surveys were read at different base frequencies and with different channel windows. consequently, it is not possible to merge the datasets into a single set of channel profiles. furthermore, john coggon noted some effects that are consistent with steel casing remaining in the drill hole below 275m, which can be seen in the cross hole components.",,0,,,diamond,,,True,False,
a079788_e15_852_2008a_11529818_8,a079788_e15_852_2008a_11529818.json,8,"this provides a useful constraint on the possible location of the conductor it cannot lie to the north of the end of llrc0002, otherwise the polarity of the response would be opposite to what we have observed.",1,possible,1,possible,"key points to note regarding the dhtem results are: the response recorded in llrc0002 is consistent with a conductor lying below the end of the drill hole (figure 6 and figure 7). this is also consistent with the location of the minimum coupling position in the surface mltem profiles. this provides a useful constraint on the possible location of the conductor it cannot lie to the north of the end of llrc0002, otherwise the polarity of the response would be opposite to what we have observed. a highly complex dhtem response (figure 8) consistent with multiple zones of intersected and off hole conductive material was recorded in lldd0001 drilled underneath llrc0002.",,0,,,,,,True,False,
a079788_e15_852_2008a_11529818_51,a079788_e15_852_2008a_11529818.json,51,"there is apparently no reason why black shale that forms an extensive planar surface should become conductive over a strike length of 200m or so, but remain non conductive elsewhere.",1,extensive,1,extensive,"the apparent limited strike length of the anomaly itself is not sufficient to constitute a discrete target: an electrically thick conductor composed of several sub parallel layers will give rise to a power law response, even if it is strike limited. the limited strike length of the observed mltem response has puzzled some geoscientists involved in the project, given the fairly unremarkable lithologies intersected by llrc0002 and lldd0001. there is apparently no reason why black shale that forms an extensive planar surface should become conductive over a strike length of 200m or so, but remain non conductive elsewhere. nevertheless, this is a common phenomenon that has frustrated explorers for as long as electromagnetic techniques have been used to target drill holes.",,0,black shale,long,,,,True,True,unremarkable lithologies
a079788_e15_852_2008a_11529818_56,a079788_e15_852_2008a_11529818.json,56,work conducted by igo has been focused on potential economic occurrences of ni sulphide mineralisation.,2,"potential, mineralisation",2,"potential, mineralisation","this surface em and down hole em data was included in the 2007 annual report. this report covers exploration completed within tenement e15 852, during the period 21st june 2007 to 20th june 2008, and forms part of the igo lake lefroy jv project. work conducted by igo has been focused on potential economic occurrences of ni sulphide mineralisation. e15 852 is however, completely covered by the lake lefroy salt lake system.",,0,,,"salt, sulphide",,,True,True,potential economic occurrences
a077471_e47_1265_2008a_10539959_9,a077471_e47_1265_2008a_10539959.json,9,"iron ore mineralisation in the hamersley province is divided into bedded (bid), channel (cid) and detrital (did) iron deposits.",1,mineralisation,1,mineralisation,"these folds and their associated thrusts accommodate n s shortening across the province. d4 and d5 produced upright, open folds that combine with the d3 folds to form local dome and basin fold patterns. iron ore mineralisation in the hamersley province is divided into bedded (bid), channel (cid) and detrital (did) iron deposits. bedded iron deposits are predominantly developed within the mt newman member and nammuldi member of the marra mamba formation and the dales gorge member of the brockman iron formation.","nammuldi member, dales gorge member, brockman iron formation",0,,"hamersley province, newman",,"iron ore, cid, iron deposits, bedded iron deposits",,True,False,
