event_id,filename,sentence_idx,sentence_text,n_trigger_words_in_sentence,trigger_words_in_sentence,n_trigger_words_in_event,trigger_words_in_event,event_text,ROCK,LOCATION,TIMESCALE,event_label,MINERAL,ORE_DEPOSIT,STRAT
a081185_188_2005_combannual_2008a_17837689_36,a081185_188_2005_combannual_2008a_17837689.json,36,local geology the geology within the project area is relatively unknown despite extensive exploration work having been completed in the past by newmont (1966 72) and further work by the gswa.,1,extensive,1,extensive,"the nornalup complex is made up of less intensely deformed; though still high grade, ortho and paragneisses, intruded by granite sheets. the orogen closely resembles the grenville front, aged ~1.0 ga. at the fraser range, it may be thought of as a metamorphic front, dated between about 1.3 1.1 ga, but with crustal interleaving commencing as early as 1.8 ga. archaean relics (reworked greenstones and granite) are incorporated as part of the ""front"", chiefly in the northern part of the plumridge 1:250,000 sheet area. local geology the geology within the project area is relatively unknown despite extensive exploration work having been completed in the past by newmont (1966 72) and further work by the gswa. a large percentage of the project remains covered by quaternary sediments requiring geological interpretations to be heavily influenced by extrapolation from magnetic data.","unknown, greenstones, granite, sediments",fraser,"archaean, quaternary",0,,,
a081185_188_2005_combannual_2008a_17837689_49,a081185_188_2005_combannual_2008a_17837689.json,49,"5.1 compilation of previous work during regional compilation work for the fraser ranges region, it was noted that there exists significant potential for the discovery of economic metal deposits.",1,potential,1,potential,"as mentioned, limited observations of sub cropping basement suggest that there is a mix of deep and shallow weathering. the information was employed in project assessment and development. 5.1 compilation of previous work during regional compilation work for the fraser ranges region, it was noted that there exists significant potential for the discovery of economic metal deposits. the region as a whole is relatively unexplored.",,fraser,,0,,,
a081185_188_2005_combannual_2008a_17837689_61,a081185_188_2005_combannual_2008a_17837689.json,61,subsequently a geotem deep aem survey was completed over much of e63 812 and a broad scale compilation of past and current surface and rock chip samples.,1,broad,1,broad,"inco officially withdrew from the joint venture agreement on august 30, 2006. rc drilling programs were completed in 2005 and late 2006 without significant result. subsequently a geotem deep aem survey was completed over much of e63 812 and a broad scale compilation of past and current surface and rock chip samples. the data was registered with the assistance of orthophoto files with some field work used to detail site locations of historic work.",,,,0,,,
a081185_188_2005_combannual_2008a_17837689_71,a081185_188_2005_combannual_2008a_17837689.json,71,a summary of the surface samples by type and tenement is shown in table 1 below; data was collected and compiled to aid the definition of new potential targets.,1,potential,1,potential,"6 exploration work completed 6.1 introduction during the 2007 2008 reporting period, the information compiled on the tenements was further developed by analysis of existing surface sample data and continued refinement of the mathematics structural interpretation based on airborne magnetic data for this region of the fraserx pty ltd combined annual report for e63 808, e63 809, e63 810, e63 811, e63 812 for period: 30 december 2007 to 29 december 2008 9 fraser range complex. 6.2 soil sampling during the present reporting period, a further 1813 surface samples were collected, largely over tenements e62 811 and e63 812. a summary of the surface samples by type and tenement is shown in table 1 below; data was collected and compiled to aid the definition of new potential targets. at the end of the reporting period, many assay results were pending.",,fraser,,0,,,
a081185_188_2005_combannual_2008a_17837689_79,a081185_188_2005_combannual_2008a_17837689.json,79,"in mid 2007, s. carras of carras mining was approached to assess the magnetic features of the region identified from the airborne surveys, by using mathematical algorithms to identify potential structural features and breaks that could be used to assist geological interpretations.",1,potential,1,potential,"in addition, it was noted that some known mafic ultramafic occurrences actually had relatively low magnetic responses relative to the background. such details made interpretive work relatively difficult. in mid 2007, s. carras of carras mining was approached to assess the magnetic features of the region identified from the airborne surveys, by using mathematical algorithms to identify potential structural features and breaks that could be used to assist geological interpretations. although interpretations can be completed through simply reviewing images and linking magnetic highs, lows and anomalies of similar nature, it was believed that an independent, non prejudicial mathematical approach to linking features would yield a much better regional structural picture that could be used to advantage when proposing future targeting for advanced exploration.",,,,0,,,
a081185_188_2005_combannual_2008a_17837689_86,a081185_188_2005_combannual_2008a_17837689.json,86,statistical plots alone can limit what potential targets can be identified where the host regolith varies with subsurface geology.,1,potential,1,potential,"figure 4 is an illustration of lineaments that have been identified through this independent calculation method. 7 discussion the employment of surface sampling to aid definition of anomalous sub surface conditions has been known as an effective tool in the australian geological environment for many years. statistical plots alone can limit what potential targets can be identified where the host regolith varies with subsurface geology. unfortunately, only the higher thresholds of a single element stand out in a plot.",regolith,,,0,,,
a081185_188_2005_combannual_2008a_17837689_89,a081185_188_2005_combannual_2008a_17837689.json,89,"in addition to statistical analysis of data, a multi element mathematical approach based on airborne magnetic data was employed to define potential targets (see under structural interpretations).",1,potential,1,potential,"unfortunately, only the higher thresholds of a single element stand out in a plot. more subtle anomalism is lost in the lower levels of standard deviations. in addition to statistical analysis of data, a multi element mathematical approach based on airborne magnetic data was employed to define potential targets (see under structural interpretations). simple statistical systems can fail to define potential due to higher and or local background chemistry.",,,,0,,,
a081185_188_2005_combannual_2008a_17837689_95,a081185_188_2005_combannual_2008a_17837689.json,95,"9 recommendations and conclusions recommendations based on current results, the following are recommendations for future consideration: additional geological mapping and follow up soil sampling work should be completed to aid drill target definition a series of rab aircore drill lines over untested geochemical and geophysical anomalies should be completed discreet targets identified could have further ip testing done to further delineate drill targets conclusions the rc drilling programs completed to date have failed to reveal significant mineralisation.",1,mineralisation,1,mineralisation,"conductive overburden is a problem and the limits of the survey work make precise definition of bedrock anomalies difficult. the 2007 ip survey work has demonstrated that dipole dipole surveys ip might be a better method for discriminating drill targets. 9 recommendations and conclusions recommendations based on current results, the following are recommendations for future consideration: additional geological mapping and follow up soil sampling work should be completed to aid drill target definition a series of rab aircore drill lines over untested geochemical and geophysical anomalies should be completed discreet targets identified could have further ip testing done to further delineate drill targets conclusions the rc drilling programs completed to date have failed to reveal significant mineralisation. however, both geochemical and geophysical results are supportive of continuing exploration in the project area.",bedrock,,,0,,,
a081185_188_2005_combannual_2008a_17837689_101,a081185_188_2005_combannual_2008a_17837689.json,101,future exploration might be more cost effectively approached by completing a series of rab aircore holes over soils geochemical targets to define the best potential bedrock hosts prior to employment of detailed geophysical programs.,1,potential,1,potential,"ground based geophysical surveys have proven to be moderately effective but relatively expensive. broader, more detailed coverage would aid target definition greatly. future exploration might be more cost effectively approached by completing a series of rab aircore holes over soils geochemical targets to define the best potential bedrock hosts prior to employment of detailed geophysical programs. palaeodrainages and cainozoic palaeogeography of the eastern goldfields, gibson desert and great victoria desert, western australia.",bedrock,"victoria, gibson, western australia, goldfields",cainozoic,0,,,
a081185_188_2005_combannual_2008a_17837689_117,a081185_188_2005_combannual_2008a_17837689.json,117,"notes on nickel mineralisation in the zanthus district, w. a. int.",1,mineralisation,1,mineralisation,"hughes, f. e. (editor), 1990 geology of the mineral deposits of australia and papua new guinea. the australian institute c f mining and metallurgy: melbourne, vol. notes on nickel mineralisation in the zanthus district, w. a. int. rep. new consolidated gold fields (asia) pty ltd. kerr i.d., (1981) cra exploration report on trs 7850h to 7862h, fraser range.",,"zanthus, fraser, australia",,0,"gold, nickel",,
