event_id,filename,sentence_idx,sentence_text,n_trigger_words,trigger_words,event_text,ORE_DEPOSIT,ROCK,MINERAL,STRAT,LOCATION,TIMESCALE,event_label
a081752_anrep2008eraheedy2103_15107355_16,a081752_anrep2008eraheedy2103_15107355.json,16,mineral occurrences and exploration potential of the eraheedy area western australia.,1,['potential'],"resource search pty ltd. september 2008 2 the outcome of the study by sgc combined with the historical data from gswa indicate weakly anomalous calcrete hosted uranium is present. negotiations are under way with aboriginal groups to gain access to allow sub surface sampling and drilling to take place. this is anticipated to be under way during the dry season of 2009 subject to successful completion of negotiation of access with aboriginal groups and the department of industry and resources. bibliography bunting ja 1986, geology of the eastern part of the nabberu basin western australia. west australian geological survey bulletin 131 130p geological survey of western australia 2005. mineral occurrences and exploration potential of the eraheedy area western australia. location: the granite peak project is located about 150km north of wiluna. geology: located within the paleoproterozoic earheedy basin to the northern margin of the archaen craton. primary comprises cainozoic sediments silts sands and calcrete work done: during the period, the company completed desk top studies to confirm the validity of the concessions for future exploration. results: follow up targets identified fro field verification and siurafce sampling conclusions: further field work required including sub surface ( rab aircore) drilling 3.",['uranium'],"['calcrete', 'granite', 'sediments', 'silts', 'sands', 'calcrete']",[],[],"['nabberu basin', 'western australia', 'western australia', 'western australia', 'wiluna']","['paleoproterozoic', 'cainozoic']",0
a075210_buck_a_ el12_1_2007_11292066_235,a075210_buck_a_ el12_1_2007_11292066.json,235,further drilling in coming years will further delineate the position of faulting and seam sub crop.,1,['further drilling'],"of days worked at $ $ construction materials: $ plant and equipment hire: $ fuel, oils, etc. : $ field supplies (food consumables, etc. mineral resources were reviewed during the reporting period for the lease and adjacent mining leases. srk consulting was engaged to review all data, import into the minex software environment and model in situ tonnages in accordance with the jorc code guidelines. a summary of the coal tonnages within el12 1 is located in appendix 3. the larger resources statement does not directly related to the lease covered in this report. further drilling in coming years will further delineate the position of faulting and seam sub crop. this is largely confined to the area surrounding the reported drilling. however, some prospective areas exist in the north of the lease, adjacent to the sub crop of lower ewington seams. location and access 5 tenement details 5 exploration and mining history 5 regional and local geology 5 current exploration 8 hydrogeological information 11 mineral resources 13 future work 13 bibliography 14 figure 2. premier seams 6 figure 3: upper buckingham seams (eu00) 7 figure 4: ewington seams (e00) 8 figure 5: map of exploration activities 10 list of appendices appendix 1: lithology logs 15 appendix 2: core photograph. 60 appendix 3: coal resources within el12 1 66 appendix 4: ground water analysis.",[],"['coal', 'coal']",[],[],"['ewington', 'premier', 'ewington']",[],0
a075210_buck_a_ el12_1_2007_11292066_246,a075210_buck_a_ el12_1_2007_11292066.json,246,the tenement was applied for on the 12 1 2005 due to an internal review of available resources and possible extensions of the collie basin.,1,['possible'],"60 appendix 3: coal resources within el12 1 66 appendix 4: ground water analysis. 67 appendix 5 coal sample analytical results. 67 appendix 6: downhole geophysical logging. 67 appendix 7: form 5 expenditure details. keywords: ac drilling, diamond core drilling, aquifer monitoring, buckingham, muja, chicken creek, collie basin. prospects drilled: buckingham area (ewington seams) list of assays: moisture, ash, density, specific energy, sulphur. the tenement was applied for on the 12 1 2005 due to an internal review of available resources and possible extensions of the collie basin. it covers both state forest and privately owned free hold lands. the griffin group owns a portion of these free hold properties. exploration of the tenement by griffin coal has included: analysis of available gswa data, field inspections of the area, analysis and interpretation of data from adjacent mining leases. mining for coal has not occurred on the lease to date. open cut and underground mining on nearby lease has been undertaken by griffin coal and others.",[],"['coal', 'coal', 'ash', 'coal', 'coal', 'coal']","['diamond', 'sulphur']",[],"['muja', 'collie', 'ewington', 'collie']",[],0
a080379_e80_2574_08atr_12876104_4,a080379_e80_2574_08atr_12876104.json,4,"the east kimberley halls creek orogen is widely regarded as having excellent potential for magmatic ni cu sulphide and pge mineralisation, and hoatson and blake (2000) considers it one of the most extensively mineralized igneous associations in australia.",2,"['potential', 'mineralisation']","the planned ground magnetics survey should be carried out. geophysical hoistem anomalies should be mapped and unexplained conductors considered for testing by ground em geophysical methods. if this work is positive drill testing of anomalies should proceed. date: december 2008 report number: ek217 tog author: simon attwell distribution: doir hawthorne resources ltd (formerly great gold mines ltd) thundelarra exploration ltd the east kimberley halls creek orogen is widely regarded as having excellent potential for magmatic ni cu sulphide and pge mineralisation, and hoatson and blake (2000) considers it one of the most extensively mineralized igneous associations in australia. hoatson also recognized broad similarities between the hco intrusions and the major mineralised layered intrusions at sudbury, the bushveld complex and the stillwater complex. two mineralised bodies of economic interest have been discovered to date within the intrusive complexes of the hco. these include the panton project, with a published resource of 10.1 mt @ 6.1 g t pgm+au and the sally malay cu ni sulphide deposit with a current resource of 3.74 mt @ 1.74% ni, 0.72% cu and 0.09% co. the hco has a number of similarities to the tornio narankavaara (t n) intrusive belt in northern finland. the t n belt contains at least 20 intrusive complexes of varying forms, ranging in area from 1 km2 to 200 km2.",['pge'],[],"['gold', 'sulphide', 'sulphide']",[],"['kimberley', 'halls creek orogen', 'australia']",[],0
a080379_e80_2574_08atr_12876104_5,a080379_e80_2574_08atr_12876104.json,5,"hoatson also recognized broad similarities between the hco intrusions and the major mineralised layered intrusions at sudbury, the bushveld complex and the stillwater complex.",1,['broad'],"the planned ground magnetics survey should be carried out. geophysical hoistem anomalies should be mapped and unexplained conductors considered for testing by ground em geophysical methods. if this work is positive drill testing of anomalies should proceed. date: december 2008 report number: ek217 tog author: simon attwell distribution: doir hawthorne resources ltd (formerly great gold mines ltd) thundelarra exploration ltd the east kimberley halls creek orogen is widely regarded as having excellent potential for magmatic ni cu sulphide and pge mineralisation, and hoatson and blake (2000) considers it one of the most extensively mineralized igneous associations in australia. hoatson also recognized broad similarities between the hco intrusions and the major mineralised layered intrusions at sudbury, the bushveld complex and the stillwater complex. two mineralised bodies of economic interest have been discovered to date within the intrusive complexes of the hco. these include the panton project, with a published resource of 10.1 mt @ 6.1 g t pgm+au and the sally malay cu ni sulphide deposit with a current resource of 3.74 mt @ 1.74% ni, 0.72% cu and 0.09% co. the hco has a number of similarities to the tornio narankavaara (t n) intrusive belt in northern finland. the t n belt contains at least 20 intrusive complexes of varying forms, ranging in area from 1 km2 to 200 km2. this belt contains the portimo and penikat intrusive complexes that are known to host pge mineralisation of potential economic grade and size.","['pge', 'pge']",[],"['gold', 'sulphide', 'sulphide']",[],"['kimberley', 'halls creek orogen', 'australia']",[],0
a080379_e80_2574_08atr_12876104_10,a080379_e80_2574_08atr_12876104.json,10,this belt contains the portimo and penikat intrusive complexes that are known to host pge mineralisation of potential economic grade and size.,2,"['mineralisation', 'potential']","the east kimberley halls creek orogen is widely regarded as having excellent potential for magmatic ni cu sulphide and pge mineralisation, and hoatson and blake (2000) considers it one of the most extensively mineralized igneous associations in australia. hoatson also recognized broad similarities between the hco intrusions and the major mineralised layered intrusions at sudbury, the bushveld complex and the stillwater complex. two mineralised bodies of economic interest have been discovered to date within the intrusive complexes of the hco. these include the panton project, with a published resource of 10.1 mt @ 6.1 g t pgm+au and the sally malay cu ni sulphide deposit with a current resource of 3.74 mt @ 1.74% ni, 0.72% cu and 0.09% co. the hco has a number of similarities to the tornio narankavaara (t n) intrusive belt in northern finland. the t n belt contains at least 20 intrusive complexes of varying forms, ranging in area from 1 km2 to 200 km2. this belt contains the portimo and penikat intrusive complexes that are known to host pge mineralisation of potential economic grade and size. the mineralisation in the penikat intrusive is analogous to the pge mineralisation at the panton. the penikat intrusive complex is a 23 km by 1.5 3.5 km sill like layered intrusive. pge bearing chromitite (+ sulphide) reefs have been traced along its entire 23 km of strike. the portimo intrusive complex occurs as 7 separate fault blocks that originally formed two structurally complex interconnected magma chambers. significant pge reserves of 50 mt containing 3.0 moz of pge+au have been announced.","['pge', 'pge', 'pge', 'pge', 'pge']",['chromitite'],"['sulphide', 'sulphide', 'sulphide']",[],"['kimberley', 'halls creek orogen', 'australia']",[],0
a080379_e80_2574_08atr_12876104_11,a080379_e80_2574_08atr_12876104.json,11,the mineralisation in the penikat intrusive is analogous to the pge mineralisation at the panton.,2,"['mineralisation', 'mineralisation']","hoatson also recognized broad similarities between the hco intrusions and the major mineralised layered intrusions at sudbury, the bushveld complex and the stillwater complex. two mineralised bodies of economic interest have been discovered to date within the intrusive complexes of the hco. these include the panton project, with a published resource of 10.1 mt @ 6.1 g t pgm+au and the sally malay cu ni sulphide deposit with a current resource of 3.74 mt @ 1.74% ni, 0.72% cu and 0.09% co. the hco has a number of similarities to the tornio narankavaara (t n) intrusive belt in northern finland. the t n belt contains at least 20 intrusive complexes of varying forms, ranging in area from 1 km2 to 200 km2. this belt contains the portimo and penikat intrusive complexes that are known to host pge mineralisation of potential economic grade and size. the mineralisation in the penikat intrusive is analogous to the pge mineralisation at the panton. the penikat intrusive complex is a 23 km by 1.5 3.5 km sill like layered intrusive. pge bearing chromitite (+ sulphide) reefs have been traced along its entire 23 km of strike. the portimo intrusive complex occurs as 7 separate fault blocks that originally formed two structurally complex interconnected magma chambers. significant pge reserves of 50 mt containing 3.0 moz of pge+au have been announced. the proximity of the projects to the argyle diamond mine indicates a potential for further mineralisation of this type to be present.","['pge', 'pge', 'pge', 'pge']",['chromitite'],"['sulphide', 'sulphide']",[],['argyle diamond mine'],[],0
a080379_e80_2574_08atr_12876104_16,a080379_e80_2574_08atr_12876104.json,16,the proximity of the projects to the argyle diamond mine indicates a potential for further mineralisation of this type to be present.,2,"['potential', 'mineralisation']","this belt contains the portimo and penikat intrusive complexes that are known to host pge mineralisation of potential economic grade and size. the mineralisation in the penikat intrusive is analogous to the pge mineralisation at the panton. the penikat intrusive complex is a 23 km by 1.5 3.5 km sill like layered intrusive. pge bearing chromitite (+ sulphide) reefs have been traced along its entire 23 km of strike. the portimo intrusive complex occurs as 7 separate fault blocks that originally formed two structurally complex interconnected magma chambers. significant pge reserves of 50 mt containing 3.0 moz of pge+au have been announced. the proximity of the projects to the argyle diamond mine indicates a potential for further mineralisation of this type to be present. a significant gold mining tradition in the area also indicated potential for epigenetic gold mineralisation. the togo north joint venture, e80 2574, is located within the east kimberley region of western australia (figure 1). the tenement covers approximately 19km2 in area within two areas spaced some 14km apart over a complex area of the halls creek orogen. metamorphosed sediments and mafic units of the tickalara metamorphics crop out within the tenement. the tenement area comprises panton group sills and gabbro of the younger wild dog intrusive group, together with coeval granite bodies of the corrara granite.","['pge', 'pge', 'pge', 'pge']","['chromitite', 'sediments', 'gabbro', 'granite']","['sulphide', 'gold', 'gold']","['tickalara metamorphics', 'corrara granite']","['argyle diamond mine', 'kimberley', 'western australia', 'halls creek orogen']",[],0
a080379_e80_2574_08atr_12876104_17,a080379_e80_2574_08atr_12876104.json,17,a significant gold mining tradition in the area also indicated potential for epigenetic gold mineralisation.,2,"['potential', 'mineralisation']","the mineralisation in the penikat intrusive is analogous to the pge mineralisation at the panton. the penikat intrusive complex is a 23 km by 1.5 3.5 km sill like layered intrusive. pge bearing chromitite (+ sulphide) reefs have been traced along its entire 23 km of strike. the portimo intrusive complex occurs as 7 separate fault blocks that originally formed two structurally complex interconnected magma chambers. significant pge reserves of 50 mt containing 3.0 moz of pge+au have been announced. the proximity of the projects to the argyle diamond mine indicates a potential for further mineralisation of this type to be present. a significant gold mining tradition in the area also indicated potential for epigenetic gold mineralisation. the togo north joint venture, e80 2574, is located within the east kimberley region of western australia (figure 1). the tenement covers approximately 19km2 in area within two areas spaced some 14km apart over a complex area of the halls creek orogen. metamorphosed sediments and mafic units of the tickalara metamorphics crop out within the tenement. the tenement area comprises panton group sills and gabbro of the younger wild dog intrusive group, together with coeval granite bodies of the corrara granite. exploration activities for the 2007 08 reporting period include interpretation of the soil, rock and stream geochemistry and geological investigations.","['pge', 'pge', 'pge']","['chromitite', 'sediments', 'gabbro', 'granite']","['sulphide', 'gold', 'gold']","['tickalara metamorphics', 'corrara granite']","['argyle diamond mine', 'kimberley', 'western australia', 'halls creek orogen']",[],0
a080379_e80_2574_08atr_12876104_25,a080379_e80_2574_08atr_12876104.json,25,"magmatic ni cu sulphide mineralisation is the main focus of exploration, but an awareness of the platinum group element (pge) potential is made due to the proximity of a similar rock suite to the nearby panton sill pge resource (4.3m oz, held by platinum australia ltd).",2,"['mineralisation', 'potential']","the tenement covers approximately 19km2 in area within two areas spaced some 14km apart over a complex area of the halls creek orogen. metamorphosed sediments and mafic units of the tickalara metamorphics crop out within the tenement. the tenement area comprises panton group sills and gabbro of the younger wild dog intrusive group, together with coeval granite bodies of the corrara granite. exploration activities for the 2007 08 reporting period include interpretation of the soil, rock and stream geochemistry and geological investigations. a ground magnetic survey was planned (covering the togo tenement and its bounding tenement to the south, e80 2290). fieldwork commenced but equipment failure led to the survey being abandoned. magmatic ni cu sulphide mineralisation is the main focus of exploration, but an awareness of the platinum group element (pge) potential is made due to the proximity of a similar rock suite to the nearby panton sill pge resource (4.3m oz, held by platinum australia ltd). tenement e80 2574 operates as a joint venture. thundelarra exploration as operator has earnt an 80% equity by staged exploration expenditure. hawthorne resources ltd (formerly great gold mines limited) retains a 20% free carried equity. a section 65 (1) (a) surrender of 1 graticular block was made 25th february 2008 with the remaining tenement totalling 2 graticular blocks. tenement details are shown in table 1.","['pge', 'pge']","['sediments', 'gabbro', 'granite']","['sulphide', 'platinum', 'platinum', 'gold']","['tickalara metamorphics', 'corrara granite']","['halls creek orogen', 'australia']",[],0
