event_id,filename,sentence_idx,sentence_text,n_trigger_words,trigger_words_in_sentence,trigger_words_in_event,event_text,ORE_DEPOSIT,ROCK,MINERAL,STRAT,LOCATION,TIMESCALE,event_label,reviewed,Near Miss Event,Key trigger phrase,Key trigger  phrase
a081752_anrep2008eraheedy2103_15107355_16,a081752_anrep2008eraheedy2103_15107355.json,16,mineral occurrences and exploration potential of the eraheedy area western australia.,1,['potential'],['potential'],"bibliography bunting ja 1986, geology of the eastern part of the nabberu basin western australia. west australian geological survey bulletin 131 130p geological survey of western australia 2005. mineral occurrences and exploration potential of the eraheedy area western australia. location: the granite peak project is located about 150km north of wiluna.",[],['granite'],[],[],"['nabberu basin', 'western australia', 'western australia', 'western australia', 'wiluna']",[],0,True,False,,
a075210_buck_a_ el12_1_2007_11292066_235,a075210_buck_a_ el12_1_2007_11292066.json,235,further drilling in coming years will further delineate the position of faulting and seam sub crop.,1,['further drilling'],['further drilling'],a summary of the coal tonnages within el12 1 is located in appendix 3. the larger resources statement does not directly related to the lease covered in this report. further drilling in coming years will further delineate the position of faulting and seam sub crop. this is largely confined to the area surrounding the reported drilling.,[],['coal'],[],[],[],[],0,True,False,,
a075210_buck_a_ el12_1_2007_11292066_246,a075210_buck_a_ el12_1_2007_11292066.json,246,the tenement was applied for on the 12 1 2005 due to an internal review of available resources and possible extensions of the collie basin.,1,['possible'],['possible'],"keywords: ac drilling, diamond core drilling, aquifer monitoring, buckingham, muja, chicken creek, collie basin. prospects drilled: buckingham area (ewington seams) list of assays: moisture, ash, density, specific energy, sulphur. the tenement was applied for on the 12 1 2005 due to an internal review of available resources and possible extensions of the collie basin. it covers both state forest and privately owned free hold lands.",[],['ash'],"['diamond', 'sulphur']",[],"['muja', 'collie', 'ewington', 'collie']",[],0,True,False,,
a080379_e80_2574_08atr_12876104_4,a080379_e80_2574_08atr_12876104.json,4,"the east kimberley halls creek orogen is widely regarded as having excellent potential for magmatic ni cu sulphide and pge mineralisation, and hoatson and blake (2000) considers it one of the most extensively mineralized igneous associations in australia.",2,"['potential', 'mineralisation']","['potential', 'mineralisation', 'broad']","if this work is positive drill testing of anomalies should proceed. date: december 2008 report number: ek217 tog author: simon attwell distribution: doir hawthorne resources ltd (formerly great gold mines ltd) thundelarra exploration ltd the east kimberley halls creek orogen is widely regarded as having excellent potential for magmatic ni cu sulphide and pge mineralisation, and hoatson and blake (2000) considers it one of the most extensively mineralized igneous associations in australia. hoatson also recognized broad similarities between the hco intrusions and the major mineralised layered intrusions at sudbury, the bushveld complex and the stillwater complex.",['pge'],[],"['gold', 'sulphide']",[],"['kimberley', 'halls creek orogen', 'australia']",[],0,True,False,,
a080379_e80_2574_08atr_12876104_10,a080379_e80_2574_08atr_12876104.json,10,this belt contains the portimo and penikat intrusive complexes that are known to host pge mineralisation of potential economic grade and size.,2,"['mineralisation', 'potential']","['mineralisation', 'potential', 'mineralisation', 'mineralisation']","the hco has a number of similarities to the tornio narankavaara (t n) intrusive belt in northern finland. the t n belt contains at least 20 intrusive complexes of varying forms, ranging in area from 1 km2 to 200 km2. this belt contains the portimo and penikat intrusive complexes that are known to host pge mineralisation of potential economic grade and size. the mineralisation in the penikat intrusive is analogous to the pge mineralisation at the panton.","['pge', 'pge']",[],[],[],[],[],0,True,False,,
a080379_e80_2574_08atr_12876104_16,a080379_e80_2574_08atr_12876104.json,16,the proximity of the projects to the argyle diamond mine indicates a potential for further mineralisation of this type to be present.,2,"['potential', 'mineralisation']","['potential', 'mineralisation', 'potential', 'mineralisation']",the portimo intrusive complex occurs as 7 separate fault blocks that originally formed two structurally complex interconnected magma chambers. significant pge reserves of 50 mt containing 3.0 moz of pge+au have been announced. the proximity of the projects to the argyle diamond mine indicates a potential for further mineralisation of this type to be present. a significant gold mining tradition in the area also indicated potential for epigenetic gold mineralisation.,['pge'],[],"['gold', 'gold']",[],['argyle diamond mine'],[],0,True,True,,
a080379_e80_2574_08atr_12876104_25,a080379_e80_2574_08atr_12876104.json,25,"magmatic ni cu sulphide mineralisation is the main focus of exploration, but an awareness of the platinum group element (pge) potential is made due to the proximity of a similar rock suite to the nearby panton sill pge resource (4.3m oz, held by platinum australia ltd).",2,"['mineralisation', 'potential']","['mineralisation', 'potential']","a ground magnetic survey was planned (covering the togo tenement and its bounding tenement to the south, e80 2290). fieldwork commenced but equipment failure led to the survey being abandoned. magmatic ni cu sulphide mineralisation is the main focus of exploration, but an awareness of the platinum group element (pge) potential is made due to the proximity of a similar rock suite to the nearby panton sill pge resource (4.3m oz, held by platinum australia ltd). tenement e80 2574 operates as a joint venture.","['pge', 'pge']",[],"['sulphide', 'platinum', 'platinum']",[],['australia'],[],0,True,True,equipment failure led to the survey being abandoned,equipment failure
a080379_e80_2574_08atr_12876104_46,a080379_e80_2574_08atr_12876104.json,46,"aaa relinquished the ground in 1981, concluding the geophysical and geochemical targets had been adequately tested without identifying any significant mineralisation representing either a potential massive sulphide or low grade, high tonnage resource.",3,"['mineralisation', 'potential', 'low grade']","['mineralisation', 'potential', 'low grade', 'mineralisation']","mp13 tested an em target to the west of the main zone of drilling, intersecting a graphitic horizon. aaa completed mapping of the prospect at 1:1000 and 1:2000 scale along with petrological investigations. aaa relinquished the ground in 1981, concluding the geophysical and geochemical targets had been adequately tested without identifying any significant mineralisation representing either a potential massive sulphide or low grade, high tonnage resource. the presence of nickel sulphide mineralisation to the south of the tenement provides encouragement that the intrusive rocks within the togo north jv area could also be mineralised.",[],['intrusive rocks'],"['sulphide', 'nickel', 'sulphide']",[],[],[],0,True,True,encouragement,encouragement
a080379_e80_2574_08atr_12876104_58,a080379_e80_2574_08atr_12876104.json,58,this deposit completed a favourable feasibility and is now an operating mine with production commencing in mid 2005.,1,['favourable'],['favourable'],these features are located over the south eastern sector of the northern tenement block (figure 3). the sally malay intrusion (covered by claims held by sally malay mining ltd) hosts the largest ni cu co sulphide resource with in the east kimberley. this deposit completed a favourable feasibility and is now an operating mine with production commencing in mid 2005. the sally malay complex is a multichambered body 1.5 x 3km in extent.,[],[],['sulphide'],['sally malay intrusion'],['kimberley'],[],0,True,False,,
a080379_e80_2574_08atr_12876104_61,a080379_e80_2574_08atr_12876104.json,61,primary mineralisation consists of two steeply dipping massive sulphide lenses 220m by 20m in thickness.,1,['mineralisation'],['mineralisation'],"the sally malay complex is a multichambered body 1.5 x 3km in extent. four subchambers are linked by a network of feeder conduits within migmatites of the tickalara metamorphics. primary mineralisation consists of two steeply dipping massive sulphide lenses 220m by 20m in thickness. most sulphides are hosted within the basal contact zone of subchamber a within gabbroic rocks, predominantly microgabbro and norites with troctolites present within other portions of the intrusion.",[],"['migmatites', 'gabbroic rocks', 'norites', 'troctolites']","['sulphide', 'sulphides']",['tickalara metamorphics'],[],[],0,True,False,,
