event_id,filename,sentence_idx,sentence_text,n_trigger_words_in_sentence,trigger_words_in_sentence,n_trigger_words_in_event,trigger_words_in_event,event_text,ROCK,TIMESCALE,event_label,STRAT,MINERAL,LOCATION,ORE_DEPOSIT
a071740_c325_97_2005a_11242905_8,a071740_c325_97_2005a_11242905.json,8,access within parts of the range country is only possible on foot.,1,possible,1,possible,"terrain in the project area ranges from the rugged limestone hills of the emanuel range to low spinifex hills and sand plains on permian sandstones to flat featureless black soil plains. this topography in part reflects exhumed devonian topography with reef and platform complexes forming the limestone ranges and basinal shales underlying the black soil plains though generally with significant subsequent carboniferous to cainozoic cover. access to the area is by a variety of station and mine tracks from the great northern highway that runs along the southern edge of the tenement block. access within parts of the range country is only possible on foot. vehicle access on the plains is relatively easy outside the wet season, which occurs from december to march. teck cominco wa pty ltd.","sand, limestone, sandstones, shales","permian, cainozoic, carboniferous, devonian",0,,,,
a071740_c325_97_2005a_11242905_62,a071740_c325_97_2005a_11242905.json,62,"zinc lead mineralisation is widespread and includes the cadjebut, goongewa, kapok, kutarta and kapok west resources.",1,mineralisation,1,mineralisation,"early permian glacial and terrigenous silts and sands of the grant group were deposited above the unconformity and filled karst depressions. dolomitisation is strongly developed within the cadjebut formation, probably reflecting early diagenetic processes. a later crosscutting ferroan dolomite event is related to the cadjebut pinnacle fault system and is interpreted to reflect the first pulse of basinal brines emanating from the fitzroy trough. zinc lead mineralisation is widespread and includes the cadjebut, goongewa, kapok, kutarta and kapok west resources. many other mineralised occurrences are known. mineralisation shows a strong structural control, but host lithology and dolomitisation are also important controls.","sands, silts",permian,0,"grant group, cadjebut formation","dolomite, lead, zinc",,
a071740_c325_97_2005a_11242905_66,a071740_c325_97_2005a_11242905.json,66,mineralisation at kapok occurs in breccias and as open space fill within the kapok fault.,1,mineralisation,1,mineralisation,"many other mineralised occurrences are known. mineralisation shows a strong structural control, but host lithology and dolomitisation are also important controls. the cadjebut mineralisation is stratabound in the footwall of the cadjebut fault and may reflect direct replacement of evaporites within the cadjebut formation along a structural corridor. mineralisation at kapok occurs in breccias and as open space fill within the kapok fault. goongewa mineralisation occurs as multiple dissolution pods above a dolomite front in the immediate hangingwall of the cadjebut fault. kutarta occurs as stratabound and fault parallel replacement of dolostone in the hangingwall of the cadjebut fault.","dolostone, evaporites, breccias",,0,cadjebut formation,dolomite,,
a071740_c325_97_2005a_11242905_76,a071740_c325_97_2005a_11242905.json,76,the development of goongewa and kapok was deferred and the decision was taken by bhp that the potential deposit size on the lennard shelf no longer matched their corporate criteria.,1,potential,1,potential,"bhp recognised the emanuel range, along the cadjebut fault zone, as an important mineralised zone and extensively explored this area. mapping, prospecting, geochemical and geophysical surveys and grid drilling were conducted, which led to the discovery of cadjebut in 1984, goongewa in 1987 and kapok in 1989. 4 teck cominco wa pty ltd 5 the bhp billiton jv brought cadjebut into production in 1987. the development of goongewa and kapok was deferred and the decision was taken by bhp that the potential deposit size on the lennard shelf no longer matched their corporate criteria. bhp and billiton sold their entire interest in the project area to western metals in 1994. western metals reviewed and compiled the previous exploration data in 1994 95.",,,0,,,,
a071740_c325_97_2005a_11242905_86,a071740_c325_97_2005a_11242905.json,86,a dipole dipole ip geophysics survey comprising 14 lines for 27.4km was conducted over the outcropping lower units of the emanuel range stratigraphy to follow up on the extents of stratabound gossans and to locate other sub surface stratabound cadjebut style mineralisation.,1,mineralisation,1,mineralisation,figure 1: emanuel range geology and 2005 exploration summary plan 6 exploration activities during 2005 focused on infill drilling at the palajippa prospect following up on significant mineralised intersections from the 2004 exploration program. details of the drilling program are tabulated below. a dipole dipole ip geophysics survey comprising 14 lines for 27.4km was conducted over the outcropping lower units of the emanuel range stratigraphy to follow up on the extents of stratabound gossans and to locate other sub surface stratabound cadjebut style mineralisation. a geological mapping exercise over the outcropping lower units of the emanuel range and cadjebut fault zone footwall followed up on the targets identified. the location of the exploration tenements featured in this report can be found in appendix f and a summary of the location of the various exploration programs for the reporting period is shown in figure 1.,gossans,,0,,,,
a071740_c325_97_2005a_11242905_103,a071740_c325_97_2005a_11242905.json,103,"in the later pillara cycle, extensive clastic conglomerate deposits were shed from fault scarps on the proterozoic basement and spilled across the carbonate platforms and into the inter reef basins.",1,extensive,1,extensive,"as tectonism increased, faulting within the lennard shelf localised reef and platform development to the uptilted margins of fault blocks. platform carbonates contain significant silty and organic components in the early part of the cycle but are dominated by clean limestone in the later part, reflecting increasing isolation from sediment sources. marginal slope carbonate deposits, formed basinwards of the reef margins, interfinger and are transitional with mixed clastic carbonate sequences in the intervening basins. in the later pillara cycle, extensive clastic conglomerate deposits were shed from fault scarps on the proterozoic basement and spilled across the carbonate platforms and into the inter reef basins. 2 teck cominco wa pty ltd 3 the nullara cycle reflects decreasing tectonism and is marked by extensive clean platform carbonates and prograding cyanobacteria reef margins during a period of slower subsidence. the nullara cycle platform and reef have been eroded over much of the south eastern lennard shelf and their original extent is unknown.","sediment, unknown, limestone, conglomerate, mixed",proterozoic,0,,"carbonates, carbonate",,
a071740_c325_97_2005a_11242905_107,a071740_c325_97_2005a_11242905.json,107,uplift in the late carboniferous resulted in extensive karstification of the carbonates and was followed by deposition of fluvioglacial clastics of the grant group in the early permian.,1,extensive,1,extensive,2 teck cominco wa pty ltd 3 the nullara cycle reflects decreasing tectonism and is marked by extensive clean platform carbonates and prograding cyanobacteria reef margins during a period of slower subsidence. the nullara cycle platform and reef have been eroded over much of the south eastern lennard shelf and their original extent is unknown. swamping of the reefs by shallow to deep platform mixed carbonate clastics of the tournaisian fairfield group marks the end of the carbonate cycle. uplift in the late carboniferous resulted in extensive karstification of the carbonates and was followed by deposition of fluvioglacial clastics of the grant group in the early permian. a striated glacial pavement has been exposed at the unconformity surface in the goongewa boxcut. mississippi valley type (mvt) zn pb deposits in the devonian carbonates are believed to have formed in the latest devonian or earliest carboniferous from basinal brines emanating from the fitzroy trough.,"mixed, unknown","permian, tournaisian, carboniferous, devonian",0,"grant group, fairfield group","carbonates, carbonate",,
a071740_c325_97_2005a_11242905_111,a071740_c325_97_2005a_11242905.json,111,depositional sites were controlled by a combination of favourable host lithologies and dilational structural sites.,1,favourable,1,favourable,a striated glacial pavement has been exposed at the unconformity surface in the goongewa boxcut. mississippi valley type (mvt) zn pb deposits in the devonian carbonates are believed to have formed in the latest devonian or earliest carboniferous from basinal brines emanating from the fitzroy trough. fluid pathways were controlled by a combination of structural zones and formational aquifers. depositional sites were controlled by a combination of favourable host lithologies and dilational structural sites. playford (1984) has described the geological evolution of the devonian reef complexes. the setting of the mvt deposits within the devonian has been described by vearncombe et al.,,"carboniferous, devonian",0,,carbonates,,
a071765_tuckabianna_ann05_9584421_1,a071765_tuckabianna_ann05_9584421.json,1,"in addition to bif hosted mineralisation, gold has been mined from deposits in other iron rich sediments, mafic rocks, porphyry and granitoid.",1,mineralisation,1,mineralisation,"most of the gold produced to date at tuckabianna occurs in or adjacent to structurally deformed bif located along the western limb of the kurrajong syncline where it is transected by the tuckabianna shear zone. in addition to bif hosted mineralisation, gold has been mined from deposits in other iron rich sediments, mafic rocks, porphyry and granitoid. a significant portion of gold production has also been achieved from lateritic material and from alluvial wash within a tertiary palaeochannel. mackay and schnellmann p l in consultation with alloy resources ltd considered that when ownership of the project is finalised exploration work on the comet webbs patch project area should involve a phased approach utilising a variety of techniques, mainly involving drilling for resource definition purposes and electrical geophysical methods for targeting sulphide mineralisation at depth.","sediments, mafic rocks, bif, granitoid, porphyry",tertiary,0,,"iron, sulphide, gold",kurrajong,
a071765_tuckabianna_ann05_9584421_5,a071765_tuckabianna_ann05_9584421.json,5,"in this context, the conductive nature of mineralisation particularly along the cometeclipse trend will be explored for using sub audio magnetic geophysical methods to identify new drilling targets.",1,mineralisation,2,"potential, mineralisation","a significant portion of gold production has also been achieved from lateritic material and from alluvial wash within a tertiary palaeochannel. mackay and schnellmann p l in consultation with alloy resources ltd considered that when ownership of the project is finalised exploration work on the comet webbs patch project area should involve a phased approach utilising a variety of techniques, mainly involving drilling for resource definition purposes and electrical geophysical methods for targeting sulphide mineralisation at depth. exploration drilling will be undertaken designed to investigate new areas of interest based on geological, geochemical and geophysical data to target the presence of concealed auriferous zones. in this context, the conductive nature of mineralisation particularly along the cometeclipse trend will be explored for using sub audio magnetic geophysical methods to identify new drilling targets. alloy resources ltd plans to give priority to resource definition activities which will also include metallurgical testwork and investigating the significance of coarse gold occurrence with the overall aim of increasing the mineral resources for assessment by preliminary financial scoping studies. in parallel, alloy intends sequentially to advance prospects within the project area and where warranted carry out further evaluation phases aimed at delineating potential additional gold resources.",,tertiary,0,,"sulphide, gold",,
