event_id,filename,sentence_idx,sentence_text,n_trigger_words,trigger_words_in_sentence,trigger_words_in_event,event_text,ORE_DEPOSIT,ROCK,MINERAL,STRAT,LOCATION,TIMESCALE,event_label,reviewed,Near Miss Event,Key trigger phrase
a072171_2005 everlasting annual rpt_12941703_1,a072171_2005 everlasting annual rpt_12941703.json,1,a detailed report titled potential of the norseman project 2002 identifies most significant targets.,1,['potential'],"['potential', 'mineralisation']","the norseman project has significant exploration upside. a detailed report titled potential of the norseman project 2002 identifies most significant targets. the powerpoint, norseman exploration eoy 2004 also provides an illustrative overview. better definition of soil anomalies is required and an mmi survey has been recommended in order to address all the various styles of mineralisation and various previously unrecognised structural trends.",[],[],[],[],"['norseman', 'norseman', 'norseman']",[],0,True,False,
a072171_2005 everlasting annual rpt_12941703_6,a072171_2005 everlasting annual rpt_12941703.json,6,exploration potential and recommendations.,1,['potential'],"['mineralisation', 'potential']","better definition of soil anomalies is required and an mmi survey has been recommended in order to address all the various styles of mineralisation and various previously unrecognised structural trends. regional geological setting . exploration completed in 2005. exploration potential and recommendations. 11 2005 everlasting technical report 3 list of tables table 1 tenement schedule table 2 exploration completed in 2005 list of figures figure 1 everlasting project location plan figure 2 everlasting index map list of appendices appendix 1 maynard report appendix 2 rsg report 2005 everlasting technical report 4 1. introduction australian gold investments pty ltd (agi), a sydney based private company purchased the everlasting tenements from kinross gold australia pty ltd (kga) on august 1st 2005.",[],[],"['gold', 'gold']",[],['australia'],[],0,True,False,
a072171_2005 everlasting annual rpt_12941703_11,a072171_2005 everlasting annual rpt_12941703.json,11,croesus have recently developed and mined by open cut methods part of the daisy and gladstone mineralisation.,1,['mineralisation'],['mineralisation'],"introduction australian gold investments pty ltd (agi), a sydney based private company purchased the everlasting tenements from kinross gold australia pty ltd (kga) on august 1st 2005. the everlasting project covers an area of 436 hectares (table 1) is located about 8 kilometres northeast of norseman, and about 25 kilometres northeast of mt. the project has two prospects gladstone and daisy that lie a kilometre from each other and are host to two major mineralised shear zones that extend southward onto the neighbouring property held by croesus mining nl (crs). croesus have recently developed and mined by open cut methods part of the daisy and gladstone mineralisation. mineable reserves (source crs annual reports) were; daisy 286kt @ 5.73g t au (53koz) mined 2003 4 gladstone 167kt @ 4.17g t au (22koz) mined 2004 5 the gladstone north and daisy prospects were (until recently) thought to be hosted in rocks of the penneshaw formation, which is the structural and stratigraphic footwall to the banded iron formation (bif) of the noganyer formation. recent interpretation from kinross and the former neighbours, central norseman gold corporation (cngc), suggest that the geology of the everlasting is part of the woolyeenyer formation that has been thrust emplaced.",[],"['banded iron formation', 'bif']","['gold', 'gold', 'gold']","['penneshaw formation', 'noganyer formation', 'woolyeenyer formation']","['australia', 'norseman', 'gladstone', 'gladstone', 'gladstone', 'gladstone', 'norseman']",[],0,True,True,major mineralised shear zones
a072171_2005 everlasting annual rpt_12941703_59,a072171_2005 everlasting annual rpt_12941703.json,59,the area around the gladstone and daisy tenement was long considered to be part of the penneshaw formation and not prospective for gold mineralisation.,1,['mineralisation'],['mineralisation'],"this unit outcrops over the daisy deposit and varies from being dolomite, silicified dolomite to silcrete. archaean lithology the dominant archaean lithology in the gladstone and daisy areas consists of basalt, dolerite and gabbro intercalated with felsic intrusive and volcanics of dacitic granodioritic composition with lesser metasedimentary rocks. the metasediments in the eastern part of the tenement tend to cherty in nature although it is not clear whether they are true cherts or are the product of alteration. the area around the gladstone and daisy tenement was long considered to be part of the penneshaw formation and not prospective for gold mineralisation. the main reasoning behind this was zircon dating which put the age of the penneshaw formation further back in the archaean. the stratigraphy was interpreted to be conformable and dips to the west therefore the rocks in this area were thought to be even older and thus not prospective for gold.",[],"['silcrete', 'basalt', 'dolerite', 'gabbro', 'metasedimentary rocks', 'cherts']","['dolomite', 'dolomite', 'gold', 'zircon', 'gold']","['penneshaw formation', 'penneshaw formation']","['gladstone', 'gladstone', 'long']","['archaean', 'archaean', 'archaean']",0,True,False,
a072171_2005 everlasting annual rpt_12941703_66,a072171_2005 everlasting annual rpt_12941703.json,66,the most important structures in terms of mineralisation are north north west trending lineaments.,1,['mineralisation'],['mineralisation'],"the penneshaw and the noganyer formations are now interpreted to be thrust in placed 2005 everlasting technical report 7 and the rocks of the daisy, gladstone and everlasting areas are now considered to be part of the woolyeenyer formation. structure the area is dominated by a series of north west; north east; north; north west, and north south structures. these are clearly visible on the magnetic data sets, both ground and aerial. the most important structures in terms of mineralisation are north north west trending lineaments. these structures parallel the princess royal fault to the west of the kinross tenements and the later is a major structure in the norseman goldfield. this structure is interpreted to be one of the major controls on the north royal mine which produced nearly 2 million ounces of gold at bonanza grade.",[],[],['gold'],"['noganyer formations', 'woolyeenyer formation']","['gladstone', 'princess royal', 'norseman', 'north royal']",[],0,True,False,
a072171_2005 everlasting annual rpt_12941703_70,a072171_2005 everlasting annual rpt_12941703.json,70,the known mineralisation in the field area displays the same spatial relationship with north north west structures exhibited elsewhere in the norseman field.,1,['mineralisation'],"['mineralisation', 'mineralisation', 'mineralisation']",these structures parallel the princess royal fault to the west of the kinross tenements and the later is a major structure in the norseman goldfield. this structure is interpreted to be one of the major controls on the north royal mine which produced nearly 2 million ounces of gold at bonanza grade. several of these type of structures (nnw) occur in the field area. the known mineralisation in the field area displays the same spatial relationship with north north west structures exhibited elsewhere in the norseman field. the daisy trend sits on an overall north north east trend which mirrors the geochemistry of the deposit however the mineralisation is bounded along this trend by north north west trending structures. the other important feature in the daisy area is the north south trending mylonitic shear zone that appears to cut off the mineralisation at depth.,[],[],['gold'],[],"['princess royal', 'norseman', 'north royal', 'norseman']",[],0,True,False,
a072171_2005 everlasting annual rpt_12941703_74,a072171_2005 everlasting annual rpt_12941703.json,74,"this structure may have been a feeder zone but at the time of gold deposition it was not a dilational area, and hence the lack of gold mineralisation.",1,['mineralisation'],"['mineralisation', 'mineralisation', 'extensive', 'mineralisation']","the daisy trend sits on an overall north north east trend which mirrors the geochemistry of the deposit however the mineralisation is bounded along this trend by north north west trending structures. the other important feature in the daisy area is the north south trending mylonitic shear zone that appears to cut off the mineralisation at depth. this zone is up to 250 metres wide in plan and dipping 45 w. this zone contains extensive silicification, potassic alteration consisting mainly of biotite, quartz veining with minor sulphide species (pyrite) but little in the way of gold response. this structure may have been a feeder zone but at the time of gold deposition it was not a dilational area, and hence the lack of gold mineralisation. these rocks crop out on the agi tenements (p63 754) and consist of intercalated chloritic foliated mafic volcanic and orthoquartzite. this unit may perhaps be correlated with the abbotshall beds further to the north.",[],['orthoquartzite'],"['biotite', 'quartz', 'sulphide', 'pyrite', 'gold', 'gold', 'gold']",['abbotshall beds'],[],[],0,True,True,extensive silicification
a072171_2005 everlasting annual rpt_12941703_78,a072171_2005 everlasting annual rpt_12941703.json,78,gold mineralisation the mineralisation in the gladstone area is typical of the thin gold bearing quartz veins hosted by mafic rocks found in the norseman field.,2,"['mineralisation', 'mineralisation']","['mineralisation', 'mineralisation', 'mineralisation']",these rocks crop out on the agi tenements (p63 754) and consist of intercalated chloritic foliated mafic volcanic and orthoquartzite. this unit may perhaps be correlated with the abbotshall beds further to the north. 2005 everlasting technical report 8 8. gold mineralisation the mineralisation in the gladstone area is typical of the thin gold bearing quartz veins hosted by mafic rocks found in the norseman field. a large felsic body is found in the footwall of the mineralisation. the veins are striking virtually north south and dipping 300 400 west.,[],"['orthoquartzite', 'quartz veins', 'mafic rocks']","['gold', 'gold']",['abbotshall beds'],"['gladstone', 'norseman']",[],0,True,True,a large felsic body is found
a072171_2005 everlasting annual rpt_12941703_85,a072171_2005 everlasting annual rpt_12941703.json,85,plotting the veins in long section shows an apparent plunge of the mineralisation of each vein.,1,['mineralisation'],['mineralisation'],"typically they have coarse gold associated with minor sulphides, usually arsenopyrite. analysis by fire assay gives erratic results and will often undervalue a potentially economic intercept. three veins have been identified in the gladstone resource b, c, and d veins. plotting the veins in long section shows an apparent plunge of the mineralisation of each vein. b vein has an apparent plunge of 30 to the north, c vein has an apparent plunge of 10 to the north and d vein appears to be flat plunging in its southern extent and 45 in the northern part of the vein. it must be noted that these plunges are determined on limited drill intercepts.",[],[],"['gold', 'sulphides', 'arsenopyrite']",[],"['gladstone', 'long']",[],0,True,False,
a072171_2005 everlasting annual rpt_12941703_92,a072171_2005 everlasting annual rpt_12941703.json,92,"previous exploration there has been some past prospecting activity in the everlasting area, but it has been limited in comparison with other parts of the norseman camp, perhaps because of the presence of an intermittent salt lake and extensive tertiary sediments and lake sediments which mask most of the favourable archaean rocks.",2,"['extensive', 'favourable']","['extensive', 'favourable']","gold is typical fine and bonanza grade values are associated with a sulphide assemblage consisting of a core of chalcopyrite that is rimmed by pyrite and then pyrrhotite. the nature of the veins is also somewhat different to the rest of the field, being sigmoidal with substantial thickness. the alteration assemblage consists largely of biotite and possibly leucoxene (the latter has not been established). previous exploration there has been some past prospecting activity in the everlasting area, but it has been limited in comparison with other parts of the norseman camp, perhaps because of the presence of an intermittent salt lake and extensive tertiary sediments and lake sediments which mask most of the favourable archaean rocks. 1988 a junior company, great fingal, carried out a small scout drilling program over a part of the tenement block in 1988, reportedly drilling about 40 shallow percussion holes in the western and central part of the property. 1997 in 1997, australasian gold mines (agm) drilled 24 rc holes for 2,296 metres (one with a 63m diamond ""tail"") on an 80 metre by 40 metre pattern, attempting to intersect a northerly extension of the adjoining gladstone deposit of central norseman gold corporation (cngc), now held by croesus mining.",[],"['sediments', 'sediments']","['gold', 'sulphide', 'chalcopyrite', 'pyrite', 'pyrrhotite', 'biotite', 'leucoxene', 'salt', 'gold', 'diamond', 'gold']",[],"['norseman', 'gladstone', 'norseman']","['tertiary', 'archaean']",0,True,False,
