,x,y,z
0,-11.694599,14.640039,-4.6515436
1,-8.789012,14.985982,-8.242541
2,-24.23746,1.3122354,-21.84922
3,-12.892566,11.830203,-13.422159
4,13.807368,-23.002176,20.748833
5,-14.682004,8.117832,17.381083
6,3.2943916,3.8231542,-12.542639
7,-26.760807,-10.026401,-15.526215
8,6.57028,-19.7258,13.776458
9,-11.9304085,17.757885,-13.958558
10,11.66052,18.27776,-4.5846343
11,-4.3834953,17.944757,-20.077839
12,16.593098,-24.584444,0.38517708
13,18.819237,9.42701,28.031267
14,-6.393013,-2.6308026,28.50134
15,-18.409916,14.911996,-14.230572
16,-22.28622,-4.548355,-33.391514
17,17.390734,-20.792614,-9.770862
18,5.9982777,-19.76191,-14.760434
19,13.377602,-30.12736,-0.16327569
20,14.161186,12.235452,3.1499534
21,-10.371479,14.776173,-14.087704
22,12.423517,-27.659035,7.4526954
23,-18.220963,5.191995,-0.71219236
24,-13.254949,-25.254786,-0.2652985
25,-12.989743,-18.526148,-8.514191
26,21.790272,-19.542608,-16.969131
27,-17.501848,20.482086,-16.848518
28,-8.310699,-13.618781,-4.1054144
29,-6.101999,-18.227049,-4.788461
30,8.264556,-13.643157,9.487729
31,27.638275,-4.298073,5.8471656
32,-3.5012705,9.963954,-3.0112112
33,10.483795,-16.746218,-10.7579365
34,26.165245,0.21818975,19.750189
35,-10.300647,6.094362,13.774824
36,0.62485737,-9.285889,44.591717
37,12.807827,-9.646582,-5.568862
38,18.338375,18.906208,-14.224436
39,-17.344437,4.7241597,-15.238312
40,36.31149,-5.8771152,7.714429
41,10.959747,-3.4538598,8.096909
42,-19.223227,9.949909,-21.597271
43,-1.4936506,12.291452,-13.632872
44,-0.8187813,34.6413,-5.975097
45,-25.917347,5.045568,-25.341606
46,14.450103,12.803869,35.938507
47,-15.086099,4.133966,16.377556
48,-19.692528,-32.038067,1.9174426
49,25.805403,-7.5570426,11.63607
50,-0.83473384,-4.0002713,3.5592961
51,-4.2434764,17.571714,-18.527523
52,-0.71558154,4.496683,-25.373081
53,11.144896,-24.145386,-3.3119082
54,-3.1990557,13.2683935,1.2240108
55,17.397547,2.9099593,32.06323
56,28.25329,17.296177,18.171648
57,-7.1464086,-14.984327,-14.9194975
58,-17.797682,5.142407,-0.7499977
59,-13.851518,-1.323323,-11.938654
60,25.278187,-9.927169,13.219819
61,-13.991347,-1.884687,-30.282219
62,17.100792,4.168739,31.359007
63,-19.279093,13.018412,-25.405703
64,17.282381,5.6899467,-10.508931
65,-0.23885402,-8.826405,2.7209177
66,6.8511224,-21.762611,14.050623
67,-5.9871917,18.214937,-21.219978
68,-22.449633,7.1097836,-4.7855954
69,10.557856,5.5451584,12.580129
70,36.00426,-11.153505,-2.238955
71,-20.451727,11.205772,1.3218015
72,-12.051739,-1.4629691,28.248001
73,-20.045015,17.80896,-8.508244
74,-14.301967,-13.748105,-10.356134
75,-19.872356,27.6096,-17.657305
76,-23.943121,22.568142,-21.154623
77,25.222563,6.4245234,-2.4625778
78,-19.70437,2.325283,-31.061357
79,33.57534,21.791647,0.16163088
80,20.968023,-5.835613,12.642271
81,16.948973,9.373722,-15.09351
82,-22.102869,-5.290323,-22.491156
83,16.208046,15.624472,24.64645
84,-5.790544,2.8037431,28.740734
85,-16.445623,5.1369386,18.875381
86,5.615257,12.298884,27.645327
87,-1.6722738,4.152547,30.6481
88,-9.420107,16.462837,17.638128
89,-14.3507805,-29.770582,-0.15471359
90,-0.725801,-24.554405,-19.100649
91,-16.787523,10.237499,-16.613148
92,20.940502,11.520539,0.6643008
93,6.2238092,13.066742,2.6293337
94,-13.009882,10.59621,-14.060576
95,33.29958,-10.777914,-0.36958843
96,-9.415035,-17.69342,-21.339039
97,-8.442602,6.5457745,4.937536
98,-5.5719976,31.601782,-9.445607
99,-23.848671,-6.3220882,-18.428938
100,8.6117115,-28.305168,15.314169
101,-13.591379,28.645975,-6.7988405
102,-7.6746454,10.969753,-14.321219
103,27.522661,21.02285,11.989818
104,7.523033,9.440586,18.471182
105,6.1248994,-17.149822,-7.514348
106,-30.061548,-0.15491964,-28.599714
107,-16.400303,5.424132,17.856487
108,-21.979368,28.568977,7.832003
109,-20.23057,-3.3626842,2.1826043
110,14.818283,11.794972,18.003199
111,8.807673,16.158575,32.613754
112,-0.6888452,-28.681906,13.058708
113,11.229807,3.0504565,-12.466632
114,-16.54331,-18.839863,17.37869
115,18.435211,13.7636795,14.374717
116,-23.447367,-0.3666242,-15.504575
117,-3.178459,26.478508,-16.753702
118,-21.734526,11.9754,-4.567879
119,9.721237,-22.525236,18.464272
120,9.858388,-25.751213,14.4391775
121,24.125227,2.1283705,-7.631771
122,6.9107018,20.568089,20.733265
123,8.863144,-0.9448629,-32.15695
124,14.47409,-16.73266,9.745586
125,18.138067,-26.016756,4.5832562
126,-13.949847,-7.4100437,-15.252115
127,-1.7561469,-26.151869,9.461425
128,6.1965504,5.5820336,22.610765
129,-7.864189,10.817382,-9.415759
130,12.603675,8.544352,23.701246
131,-3.4908924,21.682705,-2.7627654
132,0.7232411,-2.1015072,-0.1251528
133,10.549041,23.079515,-16.30092
134,-14.11568,18.75285,-13.643276
135,20.89357,-5.7782497,12.7574415
136,9.738334,-5.7005334,-0.5125224
137,11.823264,25.207539,-20.608791
138,19.823029,5.779832,16.029858
139,10.434313,24.361853,-7.458453
140,24.783987,-13.47395,5.2844625
141,7.2958994,-3.774588,-17.51599
142,-2.6764433,-23.726894,-5.780548
143,-22.54513,21.184288,-28.69161
144,19.939781,3.9630818,1.3215398
145,-15.55034,13.003514,-4.224979
146,-29.152178,-15.879973,4.3764877
147,35.27703,-11.781889,-2.438268
148,-15.449409,-20.966045,29.756657
149,1.991056,-28.454962,14.203023
150,1.3831139,20.956247,26.218622
151,17.790182,9.952335,-4.0941954
152,-2.4485033,0.63420177,30.14137
153,-2.2210963,-28.040222,12.497421
154,-14.164214,9.158969,8.287414
155,-8.790563,20.5277,-7.603429
156,11.773152,-0.77905995,18.58986
157,21.287981,-19.286757,-17.35119
158,0.24252559,-3.3693807,20.986185
159,-18.127958,-15.983116,-0.8438779
160,7.6580715,-1.4302951,-29.536789
161,-4.7281556,25.80262,9.121294
162,-4.6991334,-1.4076991,19.911598
163,12.021448,22.083595,-19.736044
164,-12.012036,44.597088,-1.3930161
165,-0.6427865,41.45263,-9.047196
166,-12.320214,25.185135,-34.047573
167,13.14361,-17.496504,16.956757
168,14.5946665,19.9667,-12.138681
169,-13.56077,22.086123,-13.313022
170,9.481894,12.202495,34.76179
171,-15.628163,-19.860964,17.067232
172,0.86452067,2.5429618,0.4840333
173,15.687924,-14.051012,3.9399867
174,-8.483705,6.3731403,10.753559
175,32.044678,-13.1933155,-6.165342
176,-24.11415,3.5194185,-27.514631
177,-21.77955,-11.330123,21.985487
